Time,Value
0.000000,5.000000
0.001645,5.000000
0.003290,5.000000
0.004934,5.000000
0.006579,5.000000
0.008224,5.000000
0.009869,5.000000
0.011514,4.999999
0.013158,4.999999
0.014803,4.999998
0.016448,4.999997
0.018093,4.999995
0.019738,4.999993
0.021383,4.999990
0.023027,4.999987
0.024672,4.999983
0.026317,4.999978
0.027962,4.999972
0.029607,4.999965
0.031251,4.999956
0.032896,4.999946
0.034541,4.999935
0.036186,4.999922
0.037831,4.999907
0.039475,4.999890
0.041120,4.999871
0.042765,4.999849
0.044410,4.999825
0.046055,4.999798
0.047700,4.999768
0.049344,4.999735
0.050989,4.999699
0.052634,4.999659
0.054279,4.999615
0.055924,4.999568
0.057568,4.999516
0.059213,4.999459
0.060858,4.999398
0.062503,4.999332
0.064148,4.999261
0.065792,4.999184
0.067437,4.999102
0.069082,4.999013
0.070727,4.998918
0.072372,4.998817
0.074017,4.998709
0.075661,4.998594
0.077306,4.998471
0.078951,4.998341
0.080596,4.998203
0.082241,4.998057
0.083885,4.997902
0.085530,4.997738
0.087175,4.997565
0.088820,4.997382
0.090465,4.997190
0.092109,4.996988
0.093754,4.996775
0.095399,4.996551
0.097044,4.996316
0.098689,4.996070
0.100334,4.995812
0.101978,4.995542
0.103623,4.995259
0.105268,4.994963
0.106913,4.994655
0.108558,4.994332
0.110202,4.993996
0.111847,4.993646
0.113492,4.993281
0.115137,4.992900
0.116782,4.992505
0.118426,4.992094
0.120071,4.991667
0.121716,4.991223
0.123361,4.990762
0.125006,4.990284
0.126651,4.989789
0.128295,4.989275
0.129940,4.988743
0.131585,4.988192
0.133230,4.987623
0.134875,4.987033
0.136519,4.986424
0.138164,4.985794
0.139809,4.985143
0.141454,4.984471
0.143099,4.983778
0.144743,4.983063
0.146388,4.982325
0.148033,4.981565
0.149678,4.980781
0.151323,4.979974
0.152968,4.979143
0.154612,4.978287
0.156257,4.977407
0.157902,4.976501
0.159547,4.975570
0.161192,4.974612
0.162836,4.973628
0.164481,4.972618
0.166126,4.971580
0.167771,4.970514
0.169416,4.969420
0.171060,4.968297
0.172705,4.967146
0.174350,4.965965
0.175995,4.964754
0.177640,4.963513
0.179285,4.962242
0.180929,4.960939
0.182574,4.959605
0.184219,4.958238
0.185864,4.956840
0.187509,4.955409
0.189153,4.953944
0.190798,4.952446
0.192443,4.950914
0.194088,4.949347
0.195733,4.947746
0.197377,4.946109
0.199022,4.944437
0.200667,4.942728
0.202312,4.940983
0.203957,4.939201
0.205602,4.937381
0.207246,4.935524
0.208891,4.933628
0.210536,4.931694
0.212181,4.929721
0.213826,4.927708
0.215470,4.925655
0.217115,4.923562
0.218760,4.921429
0.220405,4.919254
