Time,Value
0.000000,-3.000000
0.001645,-2.999993
0.003290,-2.999973
0.004934,-2.999939
0.006579,-2.999892
0.008224,-2.999831
0.009869,-2.999757
0.011514,-2.999669
0.013158,-2.999567
0.014803,-2.999452
0.016448,-2.999324
0.018093,-2.999182
0.019738,-2.999026
0.021383,-2.998857
0.023027,-2.998674
0.024672,-2.998478
0.026317,-2.998269
0.027962,-2.998045
0.029607,-2.997809
0.031251,-2.997558
0.032896,-2.997295
0.034541,-2.997017
0.036186,-2.996726
0.037831,-2.996422
0.039475,-2.996104
0.041120,-2.995773
0.042765,-2.995428
0.044410,-2.995069
0.046055,-2.994697
0.047700,-2.994312
0.049344,-2.993913
0.050989,-2.993500
0.052634,-2.993074
0.054279,-2.992635
0.055924,-2.992181
0.057568,-2.991715
0.059213,-2.991235
0.060858,-2.990741
0.062503,-2.990234
0.064148,-2.989713
0.065792,-2.989178
0.067437,-2.988631
0.069082,-2.988069
0.070727,-2.987494
0.072372,-2.986906
0.074017,-2.986304
0.075661,-2.985689
0.077306,-2.985060
0.078951,-2.984417
0.080596,-2.983761
0.082241,-2.983092
0.083885,-2.982409
0.085530,-2.981712
0.087175,-2.981002
0.088820,-2.980278
0.090465,-2.979541
0.092109,-2.978790
0.093754,-2.978026
0.095399,-2.977249
0.097044,-2.976457
0.098689,-2.975653
0.100334,-2.974834
0.101978,-2.974003
0.103623,-2.973157
0.105268,-2.972299
0.106913,-2.971426
0.108558,-2.970540
0.110202,-2.969641
0.111847,-2.968728
0.113492,-2.967802
0.115137,-2.966862
0.116782,-2.965909
0.118426,-2.964942
0.120071,-2.963961
0.121716,-2.962968
0.123361,-2.961960
0.125006,-2.960939
0.126651,-2.959905
0.128295,-2.958857
0.129940,-2.957796
0.131585,-2.956721
0.133230,-2.955632
0.134875,-2.954530
0.136519,-2.953415
0.138164,-2.952286
0.139809,-2.951144
0.141454,-2.949988
0.143099,-2.948819
0.144743,-2.947636
0.146388,-2.946440
0.148033,-2.945230
0.149678,-2.944007
0.151323,-2.942770
0.152968,-2.941520
0.154612,-2.940256
0.156257,-2.938979
0.157902,-2.937688
0.159547,-2.936384
0.161192,-2.935067
0.162836,-2.933736
0.164481,-2.932391
0.166126,-2.931033
0.167771,-2.929662
0.169416,-2.928277
0.171060,-2.926879
0.172705,-2.925467
0.174350,-2.924042
0.175995,-2.922604
0.177640,-2.921152
0.179285,-2.919686
0.180929,-2.918208
0.182574,-2.916715
0.184219,-2.915210
0.185864,-2.913691
0.187509,-2.912158
0.189153,-2.910612
0.190798,-2.909053
0.192443,-2.907480
0.194088,-2.905894
0.195733,-2.904295
0.197377,-2.902682
0.199022,-2.901056
0.200667,-2.899416
0.202312,-2.897763
0.203957,-2.896097
0.205602,-2.894417
0.207246,-2.892724
0.208891,-2.891017
0.210536,-2.889298
0.212181,-2.887565
0.213826,-2.885818
0.215470,-2.884058
0.217115,-2.882285
0.218760,-2.880499
0.220405,-2.878699
0.222050,-2.876886
0.223694,-2.875060
0.225339,-2.873220
0.226984,-2.871367
0.228629,-2.869501
0.230274,-2.867621
0.231919,-2.865728
0.233563,-2.863822
0.235208,-2.861903
0.236853,-2.859970
0.238498,-2.858025
0.240143,-2.856066
0.241787,-2.854093
0.243432,-2.852108
0.245077,-2.850109
0.246722,-2.848097
0.248367,-2.846072
0.250011,-2.844034
0.251656,-2.841982
0.253301,-2.839918
0.254946,-2.837840
0.256591,-2.835749
0.258236,-2.833645
0.259880,-2.831528
0.261525,-2.829397
0.263170,-2.827254
0.264815,-2.825097
0.266460,-2.822927
0.268104,-2.820744
0.269749,-2.818549
0.271394,-2.816340
0.273039,-2.814118
0.274684,-2.811882
0.276328,-2.809634
0.277973,-2.807373
0.279618,-2.805099
0.281263,-2.802812
0.282908,-2.800511
0.284553,-2.798198
0.286197,-2.795872
0.287842,-2.793533
0.289487,-2.791181
0.291132,-2.788816
0.292777,-2.786438
0.294421,-2.784047
0.296066,-2.781643
0.297711,-2.779226
0.299356,-2.776796
0.301001,-2.774354
0.302645,-2.771899
0.304290,-2.769430
0.305935,-2.766949
0.307580,-2.764455
0.309225,-2.761949
0.310870,-2.759429
0.312514,-2.756897
0.314159,-2.754352
0.315804,-2.751794
0.317449,-2.749224
0.319094,-2.746640
0.320738,-2.744044
0.322383,-2.741436
0.324028,-2.738814
0.325673,-2.736180
0.327318,-2.733534
0.328962,-2.730874
0.330607,-2.728203
0.332252,-2.725518
0.333897,-2.722821
0.335542,-2.720111
0.337187,-2.717389
0.338831,-2.714654
0.340476,-2.711907
0.342121,-2.709147
0.343766,-2.706375
0.345411,-2.703590
0.347055,-2.700793
0.348700,-2.697983
0.350345,-2.695161
0.351990,-2.692326
0.353635,-2.689479
0.355279,-2.686620
0.356924,-2.683749
