Time,Value
0.000000,0.000000
0.001645,0.008224
0.003290,0.016448
0.004934,0.024672
0.006579,0.032896
0.008224,0.041120
0.009869,0.049344
0.011514,0.057568
0.013158,0.065792
0.014803,0.074017
0.016448,0.082241
0.018093,0.090465
0.019738,0.098689
0.021383,0.106913
0.023027,0.115137
0.024672,0.123361
0.026317,0.131585
0.027962,0.139809
0.029607,0.148033
0.031251,0.156257
0.032896,0.164481
0.034541,0.172705
0.036186,0.180929
0.037831,0.189153
0.039475,0.197377
0.041120,0.205600
0.042765,0.213824
0.044410,0.222048
0.046055,0.230272
0.047700,0.238496
0.049344,0.246719
0.050989,0.254943
0.052634,0.263166
0.054279,0.271390
0.055924,0.279613
0.057568,0.287837
0.059213,0.296060
0.060858,0.304283
0.062503,0.312506
0.064148,0.320729
0.065792,0.328952
0.067437,0.337174
0.069082,0.345397
0.070727,0.353619
0.072372,0.361841
0.074017,0.370063
0.075661,0.378285
0.077306,0.386507
0.078951,0.394728
0.080596,0.402949
0.082241,0.411170
0.083885,0.419391
0.085530,0.427612
0.087175,0.435832
0.088820,0.444052
0.090465,0.452271
0.092109,0.460491
0.093754,0.468710
0.095399,0.476928
0.097044,0.485146
0.098689,0.493364
0.100334,0.501582
0.101978,0.509799
0.103623,0.518015
0.105268,0.526231
0.106913,0.534447
0.108558,0.542662
0.110202,0.550876
0.111847,0.559090
0.113492,0.567303
0.115137,0.575516
0.116782,0.583728
0.118426,0.591939
0.120071,0.600150
0.121716,0.608360
0.123361,0.616569
0.125006,0.624778
0.126651,0.632986
0.128295,0.641192
0.129940,0.649398
0.131585,0.657603
0.133230,0.665808
0.134875,0.674011
0.136519,0.682213
0.138164,0.690414
0.139809,0.698614
0.141454,0.706814
0.143099,0.715012
0.144743,0.723208
0.146388,0.731404
0.148033,0.739598
0.149678,0.747791
0.151323,0.755983
0.152968,0.764174
0.154612,0.772363
0.156257,0.780550
0.157902,0.788736
0.159547,0.796921
0.161192,0.805104
0.162836,0.813286
0.164481,0.821466
0.166126,0.829644
0.167771,0.837820
0.169416,0.845995
0.171060,0.854168
0.172705,0.862339
0.174350,0.870508
0.175995,0.878675
0.177640,0.886840
0.179285,0.895003
0.180929,0.903164
0.182574,0.911322
0.184219,0.919479
0.185864,0.927633
0.187509,0.935785
0.189153,0.943935
0.190798,0.952082
0.192443,0.960226
0.194088,0.968368
0.195733,0.976508
0.197377,0.984645
0.199022,0.992779
0.200667,1.000910
0.202312,1.009038
0.203957,1.017164
0.205602,1.025286
0.207246,1.033406
0.208891,1.041522
0.210536,1.049636
0.212181,1.057746
0.213826,1.065853
0.215470,1.073956
0.217115,1.082056
0.218760,1.090153
0.220405,1.098246
0.222050,1.106335
0.223694,1.114421
0.225339,1.122503
0.226984,1.130581
0.228629,1.138655
0.230274,1.146726
0.231919,1.154792
0.233563,1.162854
0.235208,1.170912
0.236853,1.178966
0.238498,1.187016
0.240143,1.195061
0.241787,1.203101
0.243432,1.211137
0.245077,1.219168
0.246722,1.227195
0.248367,1.235217
0.250011,1.243234
0.251656,1.251246
0.253301,1.259253
0.254946,1.267255
0.256591,1.275252
0.258236,1.283243
0.259880,1.291229
0.261525,1.299210
0.263170,1.307185
0.264815,1.315154
0.266460,1.323118
0.268104,1.331076
0.269749,1.339028
0.271394,1.346975
0.273039,1.354915
0.274684,1.362849
0.276328,1.370777
0.277973,1.378698
0.279618,1.386613
0.281263,1.394522
0.282908,1.402424
0.284553,1.410319
0.286197,1.418208
0.287842,1.426090
0.289487,1.433964
0.291132,1.441832
0.292777,1.449693
0.294421,1.457546
0.296066,1.465392
0.297711,1.473231
0.299356,1.481062
0.301001,1.488885
0.302645,1.496701
0.304290,1.504509
0.305935,1.512309
0.307580,1.520101
0.309225,1.527885
0.310870,1.535660
0.312514,1.543427
0.314159,1.551186
0.315804,1.558937
0.317449,1.566678
0.319094,1.574411
0.320738,1.582136
0.322383,1.589851
0.324028,1.597557
0.325673,1.605254
0.327318,1.612942
0.328962,1.620620
0.330607,1.628289
0.332252,1.635949
0.333897,1.643598
0.335542,1.651238
0.337187,1.658868
0.338831,1.666489
0.340476,1.674098
0.342121,1.681698
0.343766,1.689288
0.345411,1.696867
0.347055,1.704435
0.348700,1.711993
0.350345,1.719540
0.351990,1.727076
0.353635,1.734601
0.355279,1.742115
0.356924,1.749618
0.358569,1.757109
0.360214,1.764589
0.361859,1.772058
0.363504,1.779514
0.365148,1.786959
0.366793,1.794392
0.368438,1.801814
0.370083,1.809222
0.371728,1.816619
0.373372,1.824004
0.375017,1.831375
0.376662,1.838735
0.378307,1.846081
0.379952,1.853415
0.381596,1.860736
0.383241,1.868043
0.384886,1.875338
0.386531,1.882619
0.388176,1.889887
0.389821,1.897141
0.391465,1.904382
0.393110,1.911608
0.394755,1.918821
0.396400,1.926020
0.398045,1.933205
0.399689,1.940376
0.401334,1.947532
0.402979,1.954673
0.404624,1.961800
0.406269,1.968913
0.407913,1.976010
0.409558,1.983092
0.411203,1.990160
0.412848,1.997212
0.414493,2.004249
0.416138,2.011270
0.417782,2.018276
0.419427,2.025266
0.421072,2.032240
0.422717,2.039198
0.424362,2.046140
0.426006,2.053066
0.427651,2.059976
0.429296,2.066869
0.430941,2.073745
0.432586,2.080605
0.434230,2.087448
0.435875,2.094274
0.437520,2.101083
0.439165,2.107875
0.440810,2.114650
0.442455,2.121407
0.444099,2.128146
0.445744,2.134868
0.447389,2.141572
0.449034,2.148258
0.450679,2.154926
0.452323,2.161576
0.453968,2.168208
0.455613,2.174821
0.457258,2.181416
0.458903,2.187992
0.460547,2.194549
0.462192,2.201087
0.463837,2.207606
0.465482,2.214106
0.467127,2.220587
0.468772,2.227048
0.470416,2.233490
0.472061,2.239912
0.473706,2.246314
0.475351,2.252697
0.476996,2.259059
0.478640,2.265401
0.480285,2.271723
0.481930,2.278025
0.483575,2.284306
0.485220,2.290566
0.486864,2.296806
0.488509,2.303024
0.490154,2.309222
0.491799,2.315399
0.493444,2.321554
0.495089,2.327688
0.496733,2.333800
0.498378,2.339891
0.500023,2.345960
0.501668,2.352007
0.503313,2.358032
0.504957,2.364035
0.506602,2.370016
0.508247,2.375974
0.509892,2.381910
0.511537,2.387824
0.513181,2.393714
0.514826,2.399582
0.516471,2.405427
0.518116,2.411249
0.519761,2.417047
0.521406,2.422823
0.523050,2.428575
0.524695,2.434303
0.526340,2.440007
0.527985,2.445688
0.529630,2.451345
0.531274,2.456978
0.532919,2.462587
0.534564,2.468171
0.536209,2.473732
0.537854,2.479267
0.539498,2.484778
0.541143,2.490265
0.542788,2.495726
0.544433,2.501163
0.546078,2.506574
0.547723,2.511960
0.549367,2.517321
0.551012,2.522657
0.552657,2.527967
0.554302,2.533251
0.555947,2.538510
0.557591,2.543743
0.559236,2.548950
0.560881,2.554130
0.562526,2.559285
0.564171,2.564413
0.565815,2.569515
0.567460,2.574590
0.569105,2.579639
0.570750,2.584661
0.572395,2.589656
0.574040,2.594624
0.575684,2.599565
0.577329,2.604479
0.578974,2.609366
0.580619,2.614225
0.582264,2.619057
0.583908,2.623861
0.585553,2.628637
0.587198,2.633386
0.588843,2.638106
0.590488,2.642799
0.592132,2.647463
0.593777,2.652100
0.595422,2.656708
0.597067,2.661287
0.598712,2.665838
0.600357,2.670360
0.602001,2.674854
0.603646,2.679319
0.605291,2.683754
0.606936,2.688161
0.608581,2.692539
0.610225,2.696887
0.611870,2.701206
0.613515,2.705496
0.615160,2.709756
0.616805,2.713987
0.618449,2.718188
0.620094,2.722359
0.621739,2.726500
0.623384,2.730611
0.625029,2.734692
0.626674,2.738743
0.628318,2.742763
0.629963,2.746753
0.631608,2.750713
0.633253,2.754642
0.634898,2.758541
0.636542,2.762409
0.638187,2.766246
0.639832,2.770052
0.641477,2.773827
0.643122,2.777571
0.644766,2.781284
0.646411,2.784966
0.648056,2.788616
0.649701,2.792235
0.651346,2.795823
0.652991,2.799379
0.654635,2.802903
0.656280,2.806396
0.657925,2.809856
0.659570,2.813285
0.661215,2.816682
0.662859,2.820047
0.664504,2.823379
0.666149,2.826680
0.667794,2.829948
0.669439,2.833184
0.671083,2.836387
0.672728,2.839558
0.674373,2.842696
0.676018,2.845802
0.677663,2.848875
0.679308,2.851915
0.680952,2.854922
0.682597,2.857896
0.684242,2.860838
0.685887,2.863746
0.687532,2.866621
0.689176,2.869463
0.690821,2.872271
0.692466,2.875046
0.694111,2.877788
0.695756,2.880496
0.697400,2.883171
0.699045,2.885812
0.700690,2.888420
0.702335,2.890993
0.703980,2.893533
0.705625,2.896039
0.707269,2.898512
0.708914,2.900950
0.710559,2.903354
0.712204,2.905724
0.713849,2.908060
0.715493,2.910362
0.717138,2.912630
0.718783,2.914863
0.720428,2.917062
0.722073,2.919226
0.723717,2.921356
0.725362,2.923452
0.727007,2.925513
0.728652,2.927539
0.730297,2.929531
0.731942,2.931488
0.733586,2.933411
0.735231,2.935298
0.736876,2.937151
0.738521,2.938969
0.740166,2.940751
0.741810,2.942499
0.743455,2.944212
0.745100,2.945890
0.746745,2.947533
0.748390,2.949140
0.750034,2.950713
0.751679,2.952250
0.753324,2.953752
0.754969,2.955219
0.756614,2.956650
0.758259,2.958047
0.759903,2.959407
0.761548,2.960733
0.763193,2.962022
0.764838,2.963277
0.766483,2.964496
0.768127,2.965679
0.769772,2.966827
0.771417,2.967939
0.773062,2.969016
0.774707,2.970057
0.776351,2.971062
0.777996,2.972032
0.779641,2.972965
0.781286,2.973864
0.782931,2.974726
0.784576,2.975553
0.786220,2.976343
0.787865,2.977098
0.789510,2.977818
0.791155,2.978501
0.792800,2.979148
0.794444,2.979760
0.796089,2.980336
0.797734,2.980875
0.799379,2.981379
0.801024,2.981847
0.802668,2.982279
0.804313,2.982675
0.805958,2.983035
0.807603,2.983359
0.809248,2.983647
0.810893,2.983899
0.812537,2.984115
0.814182,2.984295
0.815827,2.984439
0.817472,2.984547
0.819117,2.984620
0.820761,2.984656
0.822406,2.984656
0.824051,2.984620
0.825696,2.984547
0.827341,2.984439
0.828985,2.984295
0.830630,2.984115
0.832275,2.983899
0.833920,2.983647
0.835565,2.983359
0.837210,2.983035
0.838854,2.982675
0.840499,2.982279
0.842144,2.981847
0.843789,2.981379
0.845434,2.980875
0.847078,2.980336
0.848723,2.979760
0.850368,2.979148
0.852013,2.978501
0.853658,2.977818
0.855302,2.977098
0.856947,2.976343
0.858592,2.975553
0.860237,2.974726
0.861882,2.973864
0.863527,2.972965
0.865171,2.972032
0.866816,2.971062
0.868461,2.970057
0.870106,2.969016
0.871751,2.967939
0.873395,2.966827
0.875040,2.965679
0.876685,2.964496
0.878330,2.963277
0.879975,2.962022
0.881619,2.960733
0.883264,2.959407
0.884909,2.958047
0.886554,2.956650
0.888199,2.955219
0.889844,2.953752
0.891488,2.952250
0.893133,2.950713
0.894778,2.949140
0.896423,2.947533
0.898068,2.945890
0.899712,2.944212
0.901357,2.942499
0.903002,2.940751
0.904647,2.938969
0.906292,2.937151
0.907936,2.935298
0.909581,2.933411
0.911226,2.931488
0.912871,2.929531
0.914516,2.927539
0.916161,2.925513
0.917805,2.923452
0.919450,2.921356
0.921095,2.919226
0.922740,2.917062
0.924385,2.914863
0.926029,2.912630
0.927674,2.910362
0.929319,2.908060
0.930964,2.905724
0.932609,2.903354
0.934253,2.900950
0.935898,2.898512
0.937543,2.896039
0.939188,2.893533
0.940833,2.890993
0.942478,2.888420
0.944122,2.885812
0.945767,2.883171
0.947412,2.880496
0.949057,2.877788
0.950702,2.875046
0.952346,2.872271
0.953991,2.869463
0.955636,2.866621
0.957281,2.863746
0.958926,2.860838
0.960570,2.857896
0.962215,2.854922
0.963860,2.851915
0.965505,2.848875
0.967150,2.845802
0.968795,2.842696
0.970439,2.839558
0.972084,2.836387
0.973729,2.833184
0.975374,2.829948
0.977019,2.826680
0.978663,2.823379
0.980308,2.820047
0.981953,2.816682
0.983598,2.813285
0.985243,2.809856
0.986887,2.806396
0.988532,2.802903
0.990177,2.799379
0.991822,2.795823
0.993467,2.792235
0.995112,2.788616
0.996756,2.784966
0.998401,2.781284
1.000046,2.777571
1.001691,2.773827
1.003336,2.770052
1.004980,2.766246
1.006625,2.762409
1.008270,2.758541
1.009915,2.754642
1.011560,2.750713
1.013204,2.746753
1.014849,2.742763
1.016494,2.738743
1.018139,2.734692
1.019784,2.730611
1.021429,2.726500
1.023073,2.722359
1.024718,2.718188
1.026363,2.713987
1.028008,2.709756
1.029653,2.705496
1.031297,2.701206
1.032942,2.696887
1.034587,2.692539
1.036232,2.688161
1.037877,2.683754
1.039521,2.679319
1.041166,2.674854
1.042811,2.670360
1.044456,2.665838
1.046101,2.661287
1.047746,2.656708
1.049390,2.652100
1.051035,2.647463
1.052680,2.642799
1.054325,2.638106
1.055970,2.633386
1.057614,2.628637
1.059259,2.623861
1.060904,2.619057
1.062549,2.614225
1.064194,2.609366
1.065838,2.604479
1.067483,2.599565
1.069128,2.594624
1.070773,2.589656
1.072418,2.584661
1.074063,2.579639
1.075707,2.574590
1.077352,2.569515
1.078997,2.564413
1.080642,2.559285
1.082287,2.554130
1.083931,2.548950
1.085576,2.543743
1.087221,2.538510
1.088866,2.533251
1.090511,2.527967
1.092155,2.522657
1.093800,2.517321
1.095445,2.511960
1.097090,2.506574
1.098735,2.501163
1.100380,2.495726
1.102024,2.490265
1.103669,2.484778
1.105314,2.479267
1.106959,2.473732
1.108604,2.468171
1.110248,2.462587
1.111893,2.456978
1.113538,2.451345
1.115183,2.445688
1.116828,2.440007
1.118472,2.434303
1.120117,2.428575
1.121762,2.422823
1.123407,2.417047
1.125052,2.411249
1.126697,2.405427
1.128341,2.399582
1.129986,2.393714
1.131631,2.387824
1.133276,2.381910
1.134921,2.375974
1.136565,2.370016
1.138210,2.364035
1.139855,2.358032
1.141500,2.352007
1.143145,2.345960
1.144789,2.339891
1.146434,2.333800
1.148079,2.327688
1.149724,2.321554
1.151369,2.315399
1.153014,2.309222
1.154658,2.303024
1.156303,2.296806
1.157948,2.290566
1.159593,2.284306
1.161238,2.278025
1.162882,2.271723
1.164527,2.265401
1.166172,2.259059
1.167817,2.252697
1.169462,2.246314
1.171106,2.239912
1.172751,2.233490
1.174396,2.227048
1.176041,2.220587
1.177686,2.214106
1.179331,2.207606
1.180975,2.201087
1.182620,2.194549
1.184265,2.187992
1.185910,2.181416
1.187555,2.174821
1.189199,2.168208
1.190844,2.161576
1.192489,2.154926
1.194134,2.148258
1.195779,2.141572
1.197423,2.134868
1.199068,2.128146
1.200713,2.121407
1.202358,2.114650
