Time,Value
0.000000,-300.000000
0.100100,-291.146132
0.200200,-282.443968
0.300300,-273.892209
0.400400,-265.489544
0.500501,-257.234642
0.600601,-249.126159
0.700701,-241.162736
0.800801,-233.343001
0.900901,-225.665573
1.001001,-218.129054
1.101101,-210.732042
1.201201,-203.473120
1.301301,-196.350865
1.401401,-189.363847
1.501502,-182.510627
1.601602,-175.789761
1.701702,-169.199797
1.801802,-162.739281
1.901902,-156.406754
2.002002,-150.200751
2.102102,-144.119809
2.202202,-138.162457
2.302302,-132.327227
2.402402,-126.612647
2.502503,-121.017246
2.602603,-115.539553
2.702703,-110.178096
2.802803,-104.931407
2.902903,-99.798016
3.003003,-94.776459
3.103103,-89.865271
3.203203,-85.062993
3.303303,-80.368168
3.403403,-75.779342
3.503504,-71.295068
3.603604,-66.913901
3.703704,-62.634404
3.803804,-58.455142
3.903904,-54.374688
4.004004,-50.391622
4.104104,-46.504529
4.204204,-42.712001
4.304304,-39.012638
4.404404,-35.405046
4.504505,-31.887840
4.604605,-28.459642
4.704705,-25.119085
4.804805,-21.864806
4.904905,-18.695455
5.005005,-15.609688
5.105105,-12.606172
5.205205,-9.683583
5.305305,-6.840606
5.405405,-4.075936
5.505506,-1.388279
5.605606,1.223650
5.705706,3.761125
5.805806,6.225411
5.905906,8.617759
6.006006,10.939414
6.106106,13.191606
6.206206,15.375555
6.306306,17.492472
6.406406,19.543554
6.506507,21.529988
6.606607,23.452950
6.706707,25.313604
6.806807,27.113102
6.906907,28.852585
7.007007,30.533181
7.107107,32.156008
7.207207,33.722171
7.307307,35.232764
7.407407,36.688868
7.507508,38.091553
7.607608,39.441877
7.707708,40.740884
7.807808,41.989609
7.907908,43.189073
8.008008,44.340285
8.108108,45.444243
8.208208,46.501932
8.308308,47.514325
8.408408,48.482383
8.508509,49.407056
8.608609,50.289279
8.708709,51.129979
8.808809,51.930068
8.908909,52.690447
9.009009,53.412005
9.109109,54.095619
9.209209,54.742155
9.309309,55.352465
9.409409,55.927392
9.509510,56.467765
9.609610,56.974401
9.709710,57.448109
9.809810,57.889681
9.909910,58.299903
10.010010,58.679544
10.110110,59.029367
10.210210,59.350118
10.310310,59.642537
10.410410,59.907350
10.510511,60.145271
10.610611,60.357005
10.710711,60.543245
10.810811,60.704673
10.910911,60.841960
11.011011,60.955766
11.111111,61.046742
11.211211,61.115526
11.311311,61.162746
11.411411,61.189022
11.511512,61.194959
11.611612,61.181155
11.711712,61.148198
11.811812,61.096665
11.911912,61.027121
12.012012,60.940124
12.112112,60.836222
12.212212,60.715950
12.312312,60.579837
12.412412,60.428400
12.512513,60.262149
12.612613,60.081581
12.712713,59.887187
12.812813,59.679447
12.912913,59.458833
13.013013,59.225806
13.113113,58.980820
13.213213,58.724319
13.313313,58.456740
13.413413,58.178510
13.513514,57.890047
13.613614,57.591761
13.713714,57.284053
13.813814,56.967319
13.913914,56.641943
14.014014,56.308301
14.114114,55.966765
14.214214,55.617694
14.314314,55.261444
14.414414,54.898360
14.514515,54.528780
14.614615,54.153035
14.714715,53.771450
14.814815,53.384341
14.914915,52.992016
15.015015,52.594778
15.115115,52.192922
15.215215,51.786736
15.315315,51.376502
15.415415,50.962494
15.515516,50.544981
15.615616,50.124224
15.715716,49.700478
15.815816,49.273992
15.915916,48.845009
16.016016,48.413764
16.116116,47.980490
16.216216,47.545410
16.316316,47.108742
16.416416,46.670699
16.516517,46.231489
16.616617,45.791313
16.716717,45.350368
16.816817,44.908842
16.916917,44.466923
17.017017,44.024789
17.117117,43.582617
17.217217,43.140574
17.317317,42.698827
17.417417,42.257535
17.517518,41.816853
17.617618,41.376931
17.717718,40.937915
17.817818,40.499946
17.917918,40.063161
18.018018,39.627691
18.118118,39.193664
18.218218,38.761205
18.318318,38.330431
18.418418,37.901459
18.518519,37.474400
18.618619,37.049360
18.718719,36.626444
18.818819,36.205750
18.918919,35.787374
19.019019,35.371410
19.119119,34.957944
19.219219,34.547062
19.319319,34.138846
19.419419,33.733374
19.519520,33.330721
19.619620,32.930958
19.719720,32.534154
19.819820,32.140374
19.919920,31.749681
20.020020,31.362133
20.120120,30.977787
20.220220,30.596697
20.320320,30.218914
20.420420,29.844485
20.520521,29.473455
20.620621,29.105868
20.720721,28.741764
20.820821,28.381180
20.920921,28.024151
21.021021,27.670711
21.121121,27.320890
21.221221,26.974716
21.321321,26.632216
21.421421,26.293412
21.521522,25.958327
21.621622,25.626982
21.721722,25.299392
21.821822,24.975575
21.921922,24.655543
22.022022,24.339310
22.122122,24.026885
22.222222,23.718277
22.322322,23.413492
22.422422,23.112536
22.522523,22.815412
22.622623,22.522122
22.722723,22.232666
22.822823,21.947043
22.922923,21.665251
23.023023,21.387286
23.123123,21.113142
23.223223,20.842813
23.323323,20.576291
23.423423,20.313567
23.523524,20.054629
23.623624,19.799468
23.723724,19.548070
23.823824,19.300422
23.923924,19.056508
24.024024,18.816313
24.124124,18.579820
24.224224,18.347012
24.324324,18.117870
24.424424,17.892374
24.524525,17.670505
24.624625,17.452240
24.724725,17.237558
24.824825,17.026437
24.924925,16.818852
25.025025,16.614780
25.125125,16.414196
25.225225,16.217075
25.325325,16.023390
25.425425,15.833115
25.525526,15.646223
25.625626,15.462687
25.725726,15.282477
25.825826,15.105565
25.925926,14.931923
26.026026,14.761520
26.126126,14.594327
26.226226,14.430313
26.326326,14.269448
26.426426,14.111701
26.526527,13.957040
26.626627,13.805433
26.726727,13.656850
26.826827,13.511256
26.926927,13.368621
27.027027,13.228912
27.127127,13.092095
27.227227,12.958138
27.327327,12.827008
27.427427,12.698670
27.527528,12.573093
27.627628,12.450242
27.727728,12.330083
27.827828,12.212583
27.927928,12.097708
28.028028,11.985425
28.128128,11.875699
28.228228,11.768496
28.328328,11.663783
28.428428,11.561526
28.528529,11.461691
28.628629,11.364243
28.728729,11.269150
28.828829,11.176377
28.928929,11.085891
29.029029,10.997658
29.129129,10.911645
29.229229,10.827818
29.329329,10.746144
29.429429,10.666589
29.529530,10.589122
29.629630,10.513708
29.729730,10.440315
29.829830,10.368911
29.929930,10.299463
30.030030,10.231938
30.130130,10.166306
30.230230,10.102533
30.330330,10.040588
30.430430,9.980439
30.530531,9.922056
30.630631,9.865407
30.730731,9.810461
30.830831,9.757188
30.930931,9.705557
31.031031,9.655538
31.131131,9.607101
31.231231,9.560217
31.331331,9.514856
31.431431,9.470989
31.531532,9.428587
31.631632,9.387622
31.731732,9.348064
31.831832,9.309886
31.931932,9.273061
32.032032,9.237560
32.132132,9.203356
32.232232,9.170423
32.332332,9.138733
32.432432,9.108261
32.532533,9.078979
32.632633,9.050864
32.732733,9.023888
32.832833,8.998026
32.932933,8.973255
33.033033,8.949549
33.133133,8.926883
33.233233,8.905235
33.333333,8.884579
33.433433,8.864894
33.533534,8.846155
33.633634,8.828340
33.733734,8.811427
33.833834,8.795393
33.933934,8.780216
34.034034,8.765876
34.134134,8.752350
34.234234,8.739618
34.334334,8.727659
34.434434,8.716453
34.534535,8.705980
34.634635,8.696220
34.734735,8.687154
34.834835,8.678763
34.934935,8.671028
35.035035,8.663931
35.135135,8.657453
35.235235,8.651576
35.335335,8.646283
35.435435,8.641557
35.535536,8.637381
35.635636,8.633738
35.735736,8.630611
35.835836,8.627986
35.935936,8.625844
36.036036,8.624173
36.136136,8.622955
36.236236,8.622177
36.336336,8.621823
36.436436,8.621879
36.536537,8.622331
36.636637,8.623166
36.736737,8.624369
36.836837,8.625928
36.936937,8.627830
