Time,Value
0.000000,-5.000000
0.100100,-4.849224
0.200200,-4.702186
0.300300,-4.558801
0.400400,-4.418982
0.500501,-4.282648
0.600601,-4.149717
0.700701,-4.020110
0.800801,-3.893749
0.900901,-3.770558
1.001001,-3.650464
1.101101,-3.533392
1.201201,-3.419272
1.301301,-3.308034
1.401401,-3.199611
1.501502,-3.093935
1.601602,-2.990942
1.701702,-2.890567
1.801802,-2.792748
1.901902,-2.697424
2.002002,-2.604537
2.102102,-2.514026
2.202202,-2.425835
2.302302,-2.339909
2.402402,-2.256193
2.502503,-2.174633
2.602603,-2.095178
2.702703,-2.017776
2.802803,-1.942377
2.902903,-1.868934
3.003003,-1.797397
3.103103,-1.727721
3.203203,-1.659860
3.303303,-1.593769
3.403403,-1.529406
3.503504,-1.466727
3.603604,-1.405691
3.703704,-1.346257
3.803804,-1.288387
3.903904,-1.232040
4.004004,-1.177179
4.104104,-1.123768
4.204204,-1.071769
4.304304,-1.021148
4.404404,-0.971870
4.504505,-0.923902
4.604605,-0.877210
4.704705,-0.831763
4.804805,-0.787528
4.904905,-0.744476
5.005005,-0.702576
5.105105,-0.661799
5.205205,-0.622116
5.305305,-0.583500
5.405405,-0.545924
5.505506,-0.509360
5.605606,-0.473783
5.705706,-0.439167
5.805806,-0.405488
5.905906,-0.372722
6.006006,-0.340845
6.106106,-0.309833
6.206206,-0.279666
6.306306,-0.250319
6.406406,-0.221773
6.506507,-0.194007
6.606607,-0.166999
6.706707,-0.140730
6.806807,-0.115181
6.906907,-0.090333
7.007007,-0.066167
7.107107,-0.042666
7.207207,-0.019811
7.307307,0.002414
7.407407,0.024026
7.507508,0.045041
7.607608,0.065476
7.707708,0.085345
7.807808,0.104664
7.907908,0.123448
8.008008,0.141711
8.108108,0.159466
8.208208,0.176728
8.308308,0.193510
8.408408,0.209825
8.508509,0.225685
8.608609,0.241103
8.708709,0.256091
8.808809,0.270660
8.908909,0.284822
9.009009,0.298588
9.109109,0.311969
9.209209,0.324976
9.309309,0.337618
9.409409,0.349905
9.509510,0.361848
9.609610,0.373456
9.709710,0.384739
9.809810,0.395704
9.909910,0.406361
10.010010,0.416719
10.110110,0.426786
10.210210,0.436569
10.310310,0.446077
10.410410,0.455318
10.510511,0.464299
10.610611,0.473026
10.710711,0.481509
10.810811,0.489752
10.910911,0.497763
11.011011,0.505549
11.111111,0.513115
11.211211,0.520469
11.311311,0.527615
11.411411,0.534560
11.511512,0.541310
11.611612,0.547869
11.711712,0.554244
11.811812,0.560440
11.911912,0.566462
12.012012,0.572314
12.112112,0.578002
12.212212,0.583530
12.312312,0.588902
12.412412,0.594124
12.512513,0.599200
12.612613,0.604133
12.712713,0.608928
12.812813,0.613588
12.912913,0.618119
13.013013,0.622522
13.113113,0.626802
13.213213,0.630963
13.313313,0.635008
13.413413,0.638940
13.513514,0.642763
13.613614,0.646479
13.713714,0.650091
13.813814,0.653604
13.913914,0.657018
14.014014,0.660339
14.114114,0.663567
14.214214,0.666705
14.314314,0.669758
14.414414,0.672725
14.514515,0.675611
14.614615,0.678418
14.714715,0.681147
14.814815,0.683801
14.914915,0.686382
15.015015,0.688892
15.115115,0.691334
15.215215,0.693709
15.315315,0.696019
15.415415,0.698266
15.515516,0.700451
15.615616,0.702578
15.715716,0.704646
15.815816,0.706658
15.915916,0.708616
16.016016,0.710520
16.116116,0.712373
16.216216,0.714176
16.316316,0.715930
16.416416,0.717637
16.516517,0.719298
16.616617,0.720914
16.716717,0.722486
16.816817,0.724017
16.916917,0.725506
17.017017,0.726955
17.117117,0.728366
17.217217,0.729739
17.317317,0.731075
17.417417,0.732375
17.517518,0.733641
17.617618,0.734873
17.717718,0.736071
17.817818,0.737238
17.917918,0.738374
18.018018,0.739480
18.118118,0.740556
18.218218,0.741603
18.318318,0.742622
18.418418,0.743614
18.518519,0.744580
18.618619,0.745520
18.718719,0.746435
18.818819,0.747325
18.918919,0.748192
19.019019,0.749035
19.119119,0.749856
19.219219,0.750655
19.319319,0.751432
19.419419,0.752188
19.519520,0.752924
19.619620,0.753640
19.719720,0.754337
19.819820,0.755015
19.919920,0.755674
20.020020,0.756315
20.120120,0.756939
20.220220,0.757546
20.320320,0.758136
20.420420,0.758710
20.520521,0.759267
20.620621,0.759810
20.720721,0.760337
20.820821,0.760849
20.920921,0.761347
21.021021,0.761831
21.121121,0.762301
21.221221,0.762757
21.321321,0.763200
21.421421,0.763631
21.521522,0.764049
21.621622,0.764454
21.721722,0.764848
21.821822,0.765230
21.921922,0.765600
22.022022,0.765959
22.122122,0.766307
22.222222,0.766644
22.322322,0.766971
22.422422,0.767288
22.522523,0.767595
22.622623,0.767891
22.722723,0.768178
22.822823,0.768456
22.922923,0.768724
23.023023,0.768984
23.123123,0.769234
23.223223,0.769476
23.323323,0.769710
23.423423,0.769935
23.523524,0.770152
23.623624,0.770361
23.723724,0.770562
23.823824,0.770756
23.923924,0.770942
24.024024,0.771121
24.124124,0.771292
24.224224,0.771457
24.324324,0.771615
24.424424,0.771766
24.524525,0.771910
24.624625,0.772048
24.724725,0.772180
24.824825,0.772305
24.924925,0.772425
25.025025,0.772538
25.125125,0.772645
25.225225,0.772747
25.325325,0.772843
25.425425,0.772934
25.525526,0.773019
25.625626,0.773100
25.725726,0.773174
25.825826,0.773244
25.925926,0.773309
26.026026,0.773369
26.126126,0.773425
26.226226,0.773475
26.326326,0.773521
26.426426,0.773563
26.526527,0.773600
26.626627,0.773634
26.726727,0.773662
26.826827,0.773687
26.926927,0.773708
27.027027,0.773725
27.127127,0.773738
27.227227,0.773747
27.327327,0.773753
27.427427,0.773755
27.527528,0.773754
27.627628,0.773749
27.727728,0.773741
27.827828,0.773729
27.927928,0.773715
28.028028,0.773697
28.128128,0.773676
28.228228,0.773653
28.328328,0.773626
28.428428,0.773597
28.528529,0.773565
28.628629,0.773530
28.728729,0.773492
28.828829,0.773452
28.928929,0.773410
29.029029,0.773365
29.129129,0.773318
29.229229,0.773268
29.329329,0.773217
29.429429,0.773163
29.529530,0.773107
29.629630,0.773049
29.729730,0.772989
29.829830,0.772927
29.929930,0.772863
30.030030,0.772797
30.130130,0.772730
30.230230,0.772661
30.330330,0.772590
30.430430,0.772518
30.530531,0.772444
30.630631,0.772369
30.730731,0.772292
30.830831,0.772214
30.930931,0.772134
31.031031,0.772054
31.131131,0.771972
31.231231,0.771889
31.331331,0.771804
31.431431,0.771719
31.531532,0.771632
31.631632,0.771545
31.731732,0.771457
31.831832,0.771367
31.931932,0.771277
32.032032,0.771186
32.132132,0.771095
32.232232,0.771002
32.332332,0.770909
32.432432,0.770815
32.532533,0.770721
32.632633,0.770626
32.732733,0.770530
32.832833,0.770434
32.932933,0.770337
33.033033,0.770240
33.133133,0.770143
33.233233,0.770045
33.333333,0.769947
33.433433,0.769849
33.533534,0.769750
33.633634,0.769651
33.733734,0.769552
33.833834,0.769453
33.933934,0.769354
34.034034,0.769255
34.134134,0.769155
34.234234,0.769055
34.334334,0.768956
34.434434,0.768856
34.534535,0.768757
34.634635,0.768657
34.734735,0.768558
34.834835,0.768459
34.934935,0.768360
35.035035,0.768261
35.135135,0.768162
35.235235,0.768064
35.335335,0.767965
35.435435,0.767867
35.535536,0.767770
35.635636,0.767672
35.735736,0.767575
35.835836,0.767478
35.935936,0.767382
36.036036,0.767286
36.136136,0.767190
36.236236,0.767095
36.336336,0.767000
36.436436,0.766906
36.536537,0.766812
36.636637,0.766719
36.736737,0.766626
36.836837,0.766533
36.936937,0.766441
37.037037,0.766350
37.137137,0.766259
37.237237,0.766169
37.337337,0.766080
37.437437,0.765991
37.537538,0.765902
37.637638,0.765814
37.737738,0.765727
37.837838,0.765640
37.937938,0.765555
38.038038,0.765469
38.138138,0.765385
38.238238,0.765301
38.338338,0.765218
38.438438,0.765135
38.538539,0.765053
38.638639,0.764972
38.738739,0.764891
38.838839,0.764812
38.938939,0.764733
39.039039,0.764654
39.139139,0.764577
39.239239,0.764500
39.339339,0.764424
39.439439,0.764348
39.539540,0.764274
39.639640,0.764200
39.739740,0.764127
39.839840,0.764054
39.939940,0.763982
