Time,Value
0.000000,-20.000000
0.100100,-19.013673
0.200200,-18.056309
0.300300,-17.127338
0.400400,-16.226199
0.500501,-15.352337
0.600601,-14.505203
0.700701,-13.684260
0.800801,-12.888974
0.900901,-12.118821
1.001001,-11.373284
1.101101,-10.651852
1.201201,-9.954022
1.301301,-9.279299
1.401401,-8.627195
1.501502,-7.997227
1.601602,-7.388922
1.701702,-6.801812
1.801802,-6.235436
1.901902,-5.689340
2.002002,-5.163079
2.102102,-4.656211
2.202202,-4.168303
2.302302,-3.698929
2.402402,-3.247668
2.502503,-2.814106
2.602603,-2.397836
2.702703,-1.998457
2.802803,-1.615574
2.902903,-1.248800
3.003003,-0.897751
3.103103,-0.562053
3.203203,-0.241334
3.303303,0.064768
3.403403,0.356612
3.503504,0.634550
3.603604,0.898928
3.703704,1.150086
3.803804,1.388359
3.903904,1.614076
4.004004,1.827560
4.104104,2.029130
4.204204,2.219097
4.304304,2.397768
4.404404,2.565445
4.504505,2.722424
4.604605,2.868997
4.704705,3.005448
4.804805,3.132060
4.904905,3.249107
5.005005,3.356860
5.105105,3.455584
5.205205,3.545541
5.305305,3.626987
5.405405,3.700173
5.505506,3.765344
5.605606,3.822744
5.705706,3.872609
5.805806,3.915172
5.905906,3.950662
6.006006,3.979301
6.106106,4.001310
6.206206,4.016903
6.306306,4.026292
6.406406,4.029683
6.506507,4.027278
6.606607,4.019277
6.706707,4.005873
6.806807,3.987256
6.906907,3.963615
7.007007,3.935129
7.107107,3.901980
7.207207,3.864341
7.307307,3.822385
7.407407,3.776278
7.507508,3.726184
7.607608,3.672265
7.707708,3.614677
7.807808,3.553573
7.907908,3.489105
8.008008,3.421417
8.108108,3.350655
8.208208,3.276958
8.308308,3.200462
8.408408,3.121303
8.508509,3.039610
8.608609,2.955512
8.708709,2.869132
8.808809,2.780592
8.908909,2.690012
9.009009,2.597507
9.109109,2.503190
9.209209,2.407171
9.309309,2.309558
9.409409,2.210455
9.509510,2.109965
9.609610,2.008187
9.709710,1.905218
9.809810,1.801152
9.909910,1.696082
10.010010,1.590097
10.110110,1.483283
10.210210,1.375726
10.310310,1.267508
10.410410,1.158710
10.510511,1.049408
10.610611,0.939679
10.710711,0.829596
10.810811,0.719231
10.910911,0.608652
11.011011,0.497928
11.111111,0.387123
11.211211,0.276301
11.311311,0.165522
11.411411,0.054847
11.511512,-0.055668
11.611612,-0.165966
11.711712,-0.275994
11.811812,-0.385699
11.911912,-0.495031
12.012012,-0.603942
12.112112,-0.712384
12.212212,-0.820312
12.312312,-0.927682
12.412412,-1.034452
12.512513,-1.140581
12.612613,-1.246030
12.712713,-1.350762
12.812813,-1.454739
12.912913,-1.557928
13.013013,-1.660295
13.113113,-1.761808
13.213213,-1.862435
13.313313,-1.962148
13.413413,-2.060919
13.513514,-2.158720
13.613614,-2.255526
13.713714,-2.351312
13.813814,-2.446055
13.913914,-2.539733
14.014014,-2.632324
14.114114,-2.723809
14.214214,-2.814169
14.314314,-2.903386
14.414414,-2.991443
14.514515,-3.078324
14.614615,-3.164014
14.714715,-3.248500
14.814815,-3.331769
14.914915,-3.413807
15.015015,-3.494605
15.115115,-3.574152
15.215215,-3.652438
15.315315,-3.729454
15.415415,-3.805194
15.515516,-3.879648
15.615616,-3.952812
15.715716,-4.024680
15.815816,-4.095246
15.915916,-4.164507
16.016016,-4.232459
16.116116,-4.299099
16.216216,-4.364425
16.316316,-4.428436
16.416416,-4.491130
16.516517,-4.552507
16.616617,-4.612567
16.716717,-4.671311
16.816817,-4.728741
16.916917,-4.784858
17.017017,-4.839664
17.117117,-4.893163
17.217217,-4.945357
17.317317,-4.996251
17.417417,-5.045849
17.517518,-5.094155
17.617618,-5.141174
17.717718,-5.186913
17.817818,-5.231376
17.917918,-5.274571
18.018018,-5.316503
18.118118,-5.357181
18.218218,-5.396610
18.318318,-5.434800
18.418418,-5.471757
18.518519,-5.507491
18.618619,-5.542009
18.718719,-5.575321
18.818819,-5.607436
18.918919,-5.638364
19.019019,-5.668113
19.119119,-5.696694
19.219219,-5.724117
19.319319,-5.750392
19.419419,-5.775531
19.519520,-5.799543
19.619620,-5.822439
19.719720,-5.844232
19.819820,-5.864931
19.919920,-5.884549
20.020020,-5.903097
20.120120,-5.920588
20.220220,-5.937032
20.320320,-5.952442
20.420420,-5.966830
20.520521,-5.980208
20.620621,-5.992589
20.720721,-6.003986
20.820821,-6.014410
20.920921,-6.023874
21.021021,-6.032392
21.121121,-6.039976
21.221221,-6.046638
21.321321,-6.052392
21.421421,-6.057251
21.521522,-6.061228
21.621622,-6.064335
21.721722,-6.066587
21.821822,-6.067995
21.921922,-6.068573
22.022022,-6.068335
22.122122,-6.067293
22.222222,-6.065461
22.322322,-6.062851
22.422422,-6.059478
22.522523,-6.055353
22.622623,-6.050491
22.722723,-6.044904
22.822823,-6.038606
22.922923,-6.031609
23.023023,-6.023927
23.123123,-6.015573
23.223223,-6.006559
23.323323,-5.996899
23.423423,-5.986605
23.523524,-5.975691
23.623624,-5.964168
23.723724,-5.952051
23.823824,-5.939351
23.923924,-5.926081
24.024024,-5.912254
24.124124,-5.897882
24.224224,-5.882977
24.324324,-5.867553
24.424424,-5.851620
24.524525,-5.835193
24.624625,-5.818281
24.724725,-5.800898
24.824825,-5.783056
24.924925,-5.764766
25.025025,-5.746040
25.125125,-5.726890
25.225225,-5.707328
25.325325,-5.687364
25.425425,-5.667011
25.525526,-5.646279
25.625626,-5.625180
25.725726,-5.603724
25.825826,-5.581924
25.925926,-5.559790
26.026026,-5.537332
26.126126,-5.514561
26.226226,-5.491488
26.326326,-5.468124
26.426426,-5.444478
26.526527,-5.420561
26.626627,-5.396383
26.726727,-5.371954
26.826827,-5.347284
26.926927,-5.322383
27.027027,-5.297261
27.127127,-5.271926
27.227227,-5.246389
27.327327,-5.220659
27.427427,-5.194745
27.527528,-5.168657
27.627628,-5.142402
27.727728,-5.115991
27.827828,-5.089431
27.927928,-5.062732
28.028028,-5.035902
28.128128,-5.008950
28.228228,-4.981883
28.328328,-4.954710
28.428428,-4.927439
28.528529,-4.900078
28.628629,-4.872634
28.728729,-4.845116
28.828829,-4.817531
28.928929,-4.789887
29.029029,-4.762190
29.129129,-4.734449
29.229229,-4.706669
29.329329,-4.678859
29.429429,-4.651024
29.529530,-4.623173
29.629630,-4.595311
29.729730,-4.567445
29.829830,-4.539581
29.929930,-4.511726
30.030030,-4.483887
30.130130,-4.456068
30.230230,-4.428276
30.330330,-4.400516
30.430430,-4.372796
30.530531,-4.345120
30.630631,-4.317493
30.730731,-4.289922
30.830831,-4.262411
30.930931,-4.234965
31.031031,-4.207591
31.131131,-4.180292
31.231231,-4.153073
31.331331,-4.125941
31.431431,-4.098898
31.531532,-4.071949
31.631632,-4.045100
31.731732,-4.018354
31.831832,-3.991716
31.931932,-3.965190
32.032032,-3.938779
32.132132,-3.912489
32.232232,-3.886322
32.332332,-3.860282
32.432432,-3.834374
32.532533,-3.808600
32.632633,-3.782965
32.732733,-3.757471
32.832833,-3.732121
32.932933,-3.706920
33.033033,-3.681870
33.133133,-3.656974
33.233233,-3.632235
33.333333,-3.607655
33.433433,-3.583239
33.533534,-3.558988
33.633634,-3.534904
33.733734,-3.510991
33.833834,-3.487250
33.933934,-3.463685
34.034034,-3.440297
34.134134,-3.417088
34.234234,-3.394061
34.334334,-3.371217
34.434434,-3.348559
34.534535,-3.326088
34.634635,-3.303806
34.734735,-3.281715
34.834835,-3.259816
34.934935,-3.238111
35.035035,-3.216601
35.135135,-3.195288
35.235235,-3.174174
35.335335,-3.153258
35.435435,-3.132543
35.535536,-3.112030
35.635636,-3.091720
35.735736,-3.071613
35.835836,-3.051711
35.935936,-3.032014
36.036036,-3.012524
36.136136,-2.993240
36.236236,-2.974165
36.336336,-2.955297
36.436436,-2.936639
36.536537,-2.918190
36.636637,-2.899950
36.736737,-2.881921
36.836837,-2.864103
36.936937,-2.846495
37.037037,-2.829098
37.137137,-2.811913
37.237237,-2.794938
37.337337,-2.778175
37.437437,-2.761624
37.537538,-2.745284
37.637638,-2.729155
37.737738,-2.713237
37.837838,-2.697530
37.937938,-2.682034
38.038038,-2.666748
38.138138,-2.651673
38.238238,-2.636807
38.338338,-2.622151
38.438438,-2.607703
38.538539,-2.593464
38.638639,-2.579433
38.738739,-2.565610
38.838839,-2.551993
38.938939,-2.538582
39.039039,-2.525377
39.139139,-2.512376
39.239239,-2.499580
39.339339,-2.486987
39.439439,-2.474596
39.539540,-2.462407
39.639640,-2.450418
39.739740,-2.438629
39.839840,-2.427040
39.939940,-2.415648
40.040040,-2.404452
40.140140,-2.393453
40.240240,-2.382649
40.340340,-2.372038
40.440440,-2.361620
40.540541,-2.351393
40.640641,-2.341356
40.740741,-2.331509
40.840841,-2.321850
40.940941,-2.312377
41.041041,-2.303090
41.141141,-2.293986
41.241241,-2.285066
41.341341,-2.276327
41.441441,-2.267769
41.541542,-2.259389
41.641642,-2.251187
41.741742,-2.243160
41.841842,-2.235309
41.941942,-2.227631
42.042042,-2.220124
42.142142,-2.212788
42.242242,-2.205620
42.342342,-2.198620
42.442442,-2.191786
42.542543,-2.185117
42.642643,-2.178610
42.742743,-2.172264
42.842843,-2.166078
42.942943,-2.160050
43.043043,-2.154179
43.143143,-2.148463
43.243243,-2.142900
43.343343,-2.137489
43.443443,-2.132228
43.543544,-2.127116
43.643644,-2.122151
43.743744,-2.117331
43.843844,-2.112654
43.943944,-2.108120
44.044044,-2.103726
44.144144,-2.099471
44.244244,-2.095352
44.344344,-2.091370
44.444444,-2.087520
44.544545,-2.083803
44.644645,-2.080216
44.744745,-2.076758
44.844845,-2.073427
44.944945,-2.070221
45.045045,-2.067138
45.145145,-2.064178
45.245245,-2.061338
45.345345,-2.058616
