Time,Value
0.000000,-0.039052
0.100100,-0.039518
0.200200,-0.039942
0.300300,-0.040325
0.400400,-0.040667
0.500501,-0.040971
0.600601,-0.041237
0.700701,-0.041466
0.800801,-0.041660
0.900901,-0.041820
1.001001,-0.041947
1.101101,-0.042041
1.201201,-0.042105
1.301301,-0.042138
1.401401,-0.042142
1.501502,-0.042118
1.601602,-0.042067
1.701702,-0.041990
1.801802,-0.041888
1.901902,-0.041761
2.002002,-0.041610
2.102102,-0.041438
2.202202,-0.041243
2.302302,-0.041027
2.402402,-0.040792
2.502503,-0.040537
2.602603,-0.040263
2.702703,-0.039972
2.802803,-0.039663
2.902903,-0.039339
3.003003,-0.038998
3.103103,-0.038643
3.203203,-0.038274
3.303303,-0.037891
3.403403,-0.037495
3.503504,-0.037087
3.603604,-0.036667
3.703704,-0.036236
3.803804,-0.035795
3.903904,-0.035343
4.004004,-0.034883
4.104104,-0.034413
4.204204,-0.033935
4.304304,-0.033450
4.404404,-0.032957
4.504505,-0.032458
4.604605,-0.031952
4.704705,-0.031440
4.804805,-0.030923
4.904905,-0.030401
5.005005,-0.029875
5.105105,-0.029344
5.205205,-0.028810
5.305305,-0.028273
5.405405,-0.027732
5.505506,-0.027190
5.605606,-0.026645
5.705706,-0.026098
5.805806,-0.025549
5.905906,-0.025000
6.006006,-0.024450
6.106106,-0.023899
6.206206,-0.023348
6.306306,-0.022797
6.406406,-0.022247
6.506507,-0.021697
6.606607,-0.021148
6.706707,-0.020600
6.806807,-0.020053
6.906907,-0.019509
7.007007,-0.018966
7.107107,-0.018425
7.207207,-0.017886
7.307307,-0.017350
7.407407,-0.016817
7.507508,-0.016287
7.607608,-0.015759
7.707708,-0.015235
7.807808,-0.014715
7.907908,-0.014198
8.008008,-0.013684
8.108108,-0.013175
8.208208,-0.012670
8.308308,-0.012168
8.408408,-0.011671
8.508509,-0.011179
8.608609,-0.010691
8.708709,-0.010208
8.808809,-0.009729
8.908909,-0.009256
9.009009,-0.008787
9.109109,-0.008323
9.209209,-0.007865
9.309309,-0.007411
9.409409,-0.006963
9.509510,-0.006521
9.609610,-0.006084
9.709710,-0.005652
9.809810,-0.005226
9.909910,-0.004805
10.010010,-0.004390
10.110110,-0.003981
10.210210,-0.003578
10.310310,-0.003180
10.410410,-0.002788
10.510511,-0.002402
10.610611,-0.002022
10.710711,-0.001647
10.810811,-0.001279
10.910911,-0.000917
11.011011,-0.000560
11.111111,-0.000209
11.211211,0.000135
11.311311,0.000474
11.411411,0.000807
11.511512,0.001134
11.611612,0.001454
11.711712,0.001769
11.811812,0.002078
11.911912,0.002381
12.012012,0.002678
12.112112,0.002970
12.212212,0.003255
12.312312,0.003534
12.412412,0.003808
12.512513,0.004076
12.612613,0.004338
12.712713,0.004594
12.812813,0.004845
12.912913,0.005090
13.013013,0.005329
13.113113,0.005563
13.213213,0.005791
13.313313,0.006013
13.413413,0.006230
13.513514,0.006442
13.613614,0.006648
13.713714,0.006849
13.813814,0.007044
13.913914,0.007234
14.014014,0.007419
14.114114,0.007599
14.214214,0.007773
14.314314,0.007943
14.414414,0.008107
14.514515,0.008266
14.614615,0.008421
14.714715,0.008570
14.814815,0.008715
14.914915,0.008855
15.015015,0.008990
15.115115,0.009120
15.215215,0.009246
15.315315,0.009367
15.415415,0.009484
15.515516,0.009596
15.615616,0.009704
15.715716,0.009807
15.815816,0.009906
15.915916,0.010001
16.016016,0.010092
16.116116,0.010179
16.216216,0.010261
16.316316,0.010340
16.416416,0.010414
16.516517,0.010485
16.616617,0.010552
16.716717,0.010615
16.816817,0.010675
16.916917,0.010731
17.017017,0.010783
17.117117,0.010832
17.217217,0.010877
17.317317,0.010919
17.417417,0.010957
17.517518,0.010992
17.617618,0.011024
17.717718,0.011053
17.817818,0.011079
17.917918,0.011101
18.018018,0.011121
18.118118,0.011137
18.218218,0.011151
18.318318,0.011162
18.418418,0.011170
18.518519,0.011176
18.618619,0.011178
18.718719,0.011178
18.818819,0.011176
18.918919,0.011171
19.019019,0.011164
19.119119,0.011154
19.219219,0.011142
19.319319,0.011127
19.419419,0.011110
19.519520,0.011091
19.619620,0.011070
19.719720,0.011047
19.819820,0.011022
19.919920,0.010995
20.020020,0.010966
20.120120,0.010935
20.220220,0.010902
20.320320,0.010868
20.420420,0.010831
20.520521,0.010793
20.620621,0.010754
20.720721,0.010712
20.820821,0.010670
20.920921,0.010625
21.021021,0.010579
21.121121,0.010532
21.221221,0.010483
21.321321,0.010434
21.421421,0.010382
21.521522,0.010330
21.621622,0.010276
21.721722,0.010221
21.821822,0.010165
21.921922,0.010108
22.022022,0.010050
22.122122,0.009991
22.222222,0.009930
22.322322,0.009869
22.422422,0.009807
22.522523,0.009745
22.622623,0.009681
22.722723,0.009616
22.822823,0.009551
22.922923,0.009485
23.023023,0.009418
23.123123,0.009351
23.223223,0.009283
23.323323,0.009215
23.423423,0.009145
23.523524,0.009076
23.623624,0.009006
23.723724,0.008935
23.823824,0.008864
23.923924,0.008792
24.024024,0.008721
24.124124,0.008648
24.224224,0.008576
24.324324,0.008503
24.424424,0.008430
24.524525,0.008356
24.624625,0.008283
24.724725,0.008209
24.824825,0.008135
24.924925,0.008061
25.025025,0.007986
25.125125,0.007912
25.225225,0.007838
