Time,Value
0.000000,0.010000
0.100100,0.002729
0.200200,-0.004085
0.300300,-0.010455
0.400400,-0.016395
0.500501,-0.021918
0.600601,-0.027038
0.700701,-0.031767
0.800801,-0.036119
0.900901,-0.040104
1.001001,-0.043737
1.101101,-0.047028
1.201201,-0.049988
1.301301,-0.052630
1.401401,-0.054965
1.501502,-0.057003
1.601602,-0.058754
1.701702,-0.060230
1.801802,-0.061441
1.901902,-0.062395
2.002002,-0.063104
2.102102,-0.063576
2.202202,-0.063821
2.302302,-0.063847
2.402402,-0.063664
2.502503,-0.063280
2.602603,-0.062703
2.702703,-0.061942
2.802803,-0.061005
2.902903,-0.059899
3.003003,-0.058632
3.103103,-0.057212
3.203203,-0.055646
3.303303,-0.053940
3.403403,-0.052101
3.503504,-0.050137
3.603604,-0.048054
3.703704,-0.045858
3.803804,-0.043554
3.903904,-0.041151
4.004004,-0.038652
4.104104,-0.036064
4.204204,-0.033392
4.304304,-0.030642
4.404404,-0.027818
4.504505,-0.024927
4.604605,-0.021972
4.704705,-0.018959
4.804805,-0.015892
4.904905,-0.012776
5.005005,-0.009615
5.105105,-0.006413
5.205205,-0.003174
5.305305,0.000097
5.405405,0.003397
5.505506,0.006723
5.605606,0.010070
5.705706,0.013434
5.805806,0.016814
5.905906,0.020205
6.006006,0.023604
6.106106,0.027009
6.206206,0.030416
6.306306,0.033822
6.406406,0.037225
6.506507,0.040622
6.606607,0.044011
6.706707,0.047389
6.806807,0.050755
6.906907,0.054104
7.007007,0.057436
7.107107,0.060749
7.207207,0.064040
7.307307,0.067307
7.407407,0.070549
7.507508,0.073765
7.607608,0.076951
7.707708,0.080107
7.807808,0.083231
7.907908,0.086322
8.008008,0.089379
8.108108,0.092399
8.208208,0.095383
8.308308,0.098327
8.408408,0.101233
8.508509,0.104098
8.608609,0.106922
8.708709,0.109703
8.808809,0.112440
8.908909,0.115134
9.009009,0.117783
9.109109,0.120386
9.209209,0.122943
9.309309,0.125453
9.409409,0.127916
9.509510,0.130331
9.609610,0.132698
9.709710,0.135015
9.809810,0.137284
9.909910,0.139503
10.010010,0.141672
10.110110,0.143791
10.210210,0.145860
10.310310,0.147878
10.410410,0.149846
10.510511,0.151762
10.610611,0.153629
10.710711,0.155444
10.810811,0.157208
10.910911,0.158921
11.011011,0.160584
11.111111,0.162196
11.211211,0.163757
11.311311,0.165268
11.411411,0.166728
11.511512,0.168138
11.611612,0.169498
11.711712,0.170808
11.811812,0.172069
11.911912,0.173281
12.012012,0.174443
12.112112,0.175557
12.212212,0.176622
12.312312,0.177640
12.412412,0.178610
12.512513,0.179532
12.612613,0.180408
12.712713,0.181237
12.812813,0.182020
12.912913,0.182757
13.013013,0.183449
13.113113,0.184097
13.213213,0.184700
13.313313,0.185259
13.413413,0.185775
13.513514,0.186249
13.613614,0.186680
13.713714,0.187069
13.813814,0.187417
13.913914,0.187724
14.014014,0.187991
14.114114,0.188219
14.214214,0.188407
14.314314,0.188557
14.414414,0.188669
14.514515,0.188744
14.614615,0.188782
14.714715,0.188783
14.814815,0.188749
14.914915,0.188680
15.015015,0.188576
15.115115,0.188439
15.215215,0.188268
15.315315,0.188064
15.415415,0.187828
15.515516,0.187561
15.615616,0.187263
15.715716,0.186934
15.815816,0.186576
15.915916,0.186188
16.016016,0.185772
16.116116,0.185328
16.216216,0.184857
16.316316,0.184359
16.416416,0.183834
16.516517,0.183284
16.616617,0.182709
16.716717,0.182109
16.816817,0.181486
16.916917,0.180839
17.017017,0.180170
17.117117,0.179478
17.217217,0.178765
17.317317,0.178030
17.417417,0.177275
17.517518,0.176501
17.617618,0.175706
17.717718,0.174893
17.817818,0.174062
17.917918,0.173213
18.018018,0.172346
18.118118,0.171463
18.218218,0.170564
18.318318,0.169649
18.418418,0.168719
18.518519,0.167774
18.618619,0.166815
18.718719,0.165843
18.818819,0.164857
18.918919,0.163858
19.019019,0.162848
19.119119,0.161825
19.219219,0.160792
19.319319,0.159747
19.419419,0.158692
19.519520,0.157627
19.619620,0.156553
19.719720,0.155470
19.819820,0.154378
19.919920,0.153278
20.020020,0.152170
20.120120,0.151055
20.220220,0.149933
20.320320,0.148805
20.420420,0.147670
20.520521,0.146530
20.620621,0.145384
20.720721,0.144233
20.820821,0.143078
20.920921,0.141919
21.021021,0.140755
21.121121,0.139588
21.221221,0.138418
21.321321,0.137245
21.421421,0.136069
21.521522,0.134892
21.621622,0.133712
21.721722,0.132531
21.821822,0.131348
21.921922,0.130165
22.022022,0.128981
22.122122,0.127796
22.222222,0.126612
22.322322,0.125427
22.422422,0.124243
22.522523,0.123060
22.622623,0.121878
22.722723,0.120697
22.822823,0.119518
22.922923,0.118340
23.023023,0.117165
23.123123,0.115991
23.223223,0.114820
23.323323,0.113652
23.423423,0.112486
23.523524,0.111324
23.623624,0.110165
23.723724,0.109009
23.823824,0.107857
23.923924,0.106709
24.024024,0.105565
24.124124,0.104425
24.224224,0.103289
24.324324,0.102158
24.424424,0.101032
24.524525,0.099911
24.624625,0.098795
