Time,Value
0.000000,0.100000
0.100100,0.096067
0.200200,0.092090
0.300300,0.088072
0.400400,0.084018
0.500501,0.079932
0.600601,0.075817
0.700701,0.071678
0.800801,0.067517
0.900901,0.063338
1.001001,0.059145
1.101101,0.054942
1.201201,0.050730
1.301301,0.046513
1.401401,0.042295
1.501502,0.038077
1.601602,0.033864
1.701702,0.029656
1.801802,0.025458
1.901902,0.021271
2.002002,0.017098
2.102102,0.012942
2.202202,0.008803
2.302302,0.004685
2.402402,0.000590
2.502503,-0.003480
2.602603,-0.007525
2.702703,-0.011540
2.802803,-0.015526
2.902903,-0.019481
3.003003,-0.023401
3.103103,-0.027288
3.203203,-0.031137
3.303303,-0.034950
3.403403,-0.038723
3.503504,-0.042456
3.603604,-0.046147
3.703704,-0.049796
3.803804,-0.053401
3.903904,-0.056962
4.004004,-0.060477
4.104104,-0.063945
4.204204,-0.067366
4.304304,-0.070739
4.404404,-0.074062
4.504505,-0.077336
4.604605,-0.080560
4.704705,-0.083733
4.804805,-0.086854
4.904905,-0.089924
5.005005,-0.092940
5.105105,-0.095904
5.205205,-0.098815
5.305305,-0.101672
5.405405,-0.104475
5.505506,-0.107224
5.605606,-0.109918
5.705706,-0.112558
5.805806,-0.115143
5.905906,-0.117673
6.006006,-0.120148
6.106106,-0.122568
6.206206,-0.124933
6.306306,-0.127242
6.406406,-0.129497
6.506507,-0.131696
6.606607,-0.133840
6.706707,-0.135930
6.806807,-0.137965
6.906907,-0.139945
7.007007,-0.141870
7.107107,-0.143742
7.207207,-0.145559
7.307307,-0.147323
7.407407,-0.149033
7.507508,-0.150690
7.607608,-0.152293
7.707708,-0.153845
7.807808,-0.155344
7.907908,-0.156791
8.008008,-0.158186
8.108108,-0.159530
8.208208,-0.160824
8.308308,-0.162067
8.408408,-0.163260
8.508509,-0.164404
8.608609,-0.165498
8.708709,-0.166544
8.808809,-0.167542
8.908909,-0.168492
9.009009,-0.169395
9.109109,-0.170252
9.209209,-0.171062
9.309309,-0.171826
9.409409,-0.172546
9.509510,-0.173221
9.609610,-0.173851
9.709710,-0.174439
9.809810,-0.174983
9.909910,-0.175485
10.010010,-0.175945
10.110110,-0.176364
10.210210,-0.176742
10.310310,-0.177081
10.410410,-0.177379
10.510511,-0.177639
10.610611,-0.177860
10.710711,-0.178044
10.810811,-0.178190
10.910911,-0.178300
11.011011,-0.178374
11.111111,-0.178412
11.211211,-0.178416
11.311311,-0.178385
11.411411,-0.178321
11.511512,-0.178224
11.611612,-0.178095
11.711712,-0.177933
11.811812,-0.177741
11.911912,-0.177517
12.012012,-0.177264
12.112112,-0.176981
12.212212,-0.176670
12.312312,-0.176330
12.412412,-0.175962
12.512513,-0.175568
12.612613,-0.175147
12.712713,-0.174699
12.812813,-0.174227
12.912913,-0.173730
13.013013,-0.173208
13.113113,-0.172663
13.213213,-0.172095
13.313313,-0.171504
13.413413,-0.170891
13.513514,-0.170257
13.613614,-0.169601
13.713714,-0.168926
13.813814,-0.168230
13.913914,-0.167516
14.014014,-0.166782
14.114114,-0.166031
14.214214,-0.165261
14.314314,-0.164475
14.414414,-0.163671
14.514515,-0.162852
14.614615,-0.162016
14.714715,-0.161166
14.814815,-0.160301
14.914915,-0.159422
15.015015,-0.158528
15.115115,-0.157622
15.215215,-0.156703
15.315315,-0.155771
15.415415,-0.154828
15.515516,-0.153873
15.615616,-0.152907
15.715716,-0.151930
15.815816,-0.150943
15.915916,-0.149947
16.016016,-0.148941
16.116116,-0.147927
16.216216,-0.146904
16.316316,-0.145873
16.416416,-0.144834
16.516517,-0.143788
16.616617,-0.142735
16.716717,-0.141675
16.816817,-0.140610
16.916917,-0.139538
17.017017,-0.138462
17.117117,-0.137380
17.217217,-0.136293
17.317317,-0.135202
17.417417,-0.134107
17.517518,-0.133009
17.617618,-0.131907
17.717718,-0.130802
17.817818,-0.129694
17.917918,-0.128584
18.018018,-0.127472
18.118118,-0.126358
18.218218,-0.125242
18.318318,-0.124125
18.418418,-0.123007
