Time,Value
0.000000,-20.000000
0.100100,-19.972674
0.200200,-19.947130
0.300300,-19.923334
0.400400,-19.901252
0.500501,-19.880853
0.600601,-19.862103
0.700701,-19.844970
0.800801,-19.829421
0.900901,-19.815424
1.001001,-19.802948
1.101101,-19.791962
1.201201,-19.782435
1.301301,-19.774335
1.401401,-19.767633
1.501502,-19.762298
1.601602,-19.758300
1.701702,-19.755610
1.801802,-19.754199
1.901902,-19.754038
2.002002,-19.755098
2.102102,-19.757351
2.202202,-19.760770
2.302302,-19.765325
2.402402,-19.770991
2.502503,-19.777741
2.602603,-19.785546
2.702703,-19.794382
2.802803,-19.804223
2.902903,-19.815042
3.003003,-19.826814
3.103103,-19.839515
3.203203,-19.853119
3.303303,-19.867603
3.403403,-19.882942
3.503504,-19.899112
3.603604,-19.916090
3.703704,-19.933854
3.803804,-19.952380
3.903904,-19.971645
4.004004,-19.991629
4.104104,-20.012309
4.204204,-20.033663
4.304304,-20.055670
4.404404,-20.078311
4.504505,-20.101563
4.604605,-20.125407
4.704705,-20.149824
4.804805,-20.174793
4.904905,-20.200295
5.005005,-20.226312
5.105105,-20.252824
5.205205,-20.279814
5.305305,-20.307263
5.405405,-20.335153
5.505506,-20.363468
5.605606,-20.392190
5.705706,-20.421302
5.805806,-20.450788
5.905906,-20.480631
6.006006,-20.510816
6.106106,-20.541326
6.206206,-20.572147
6.306306,-20.603264
6.406406,-20.634660
6.506507,-20.666323
6.606607,-20.698237
6.706707,-20.730390
6.806807,-20.762765
6.906907,-20.795352
7.007007,-20.828136
7.107107,-20.861104
7.207207,-20.894243
7.307307,-20.927542
7.407407,-20.960988
7.507508,-20.994569
7.607608,-21.028274
7.707708,-21.062090
7.807808,-21.096008
7.907908,-21.130015
8.008008,-21.164102
8.108108,-21.198258
8.208208,-21.232472
8.308308,-21.266734
8.408408,-21.301036
8.508509,-21.335367
8.608609,-21.369718
8.708709,-21.404079
8.808809,-21.438443
8.908909,-21.472800
9.009009,-21.507142
9.109109,-21.541460
9.209209,-21.575748
9.309309,-21.609995
9.409409,-21.644196
9.509510,-21.678343
9.609610,-21.712428
9.709710,-21.746444
9.809810,-21.780385
9.909910,-21.814244
10.010010,-21.848014
10.110110,-21.881689
10.210210,-21.915263
10.310310,-21.948730
10.410410,-21.982084
10.510511,-22.015320
10.610611,-22.048432
10.710711,-22.081415
10.810811,-22.114263
10.910911,-22.146972
11.011011,-22.179538
11.111111,-22.211954
11.211211,-22.244218
11.311311,-22.276324
11.411411,-22.308269
11.511512,-22.340048
11.611612,-22.371657
11.711712,-22.403094
11.811812,-22.434353
11.911912,-22.465432
12.012012,-22.496327
12.112112,-22.527035
12.212212,-22.557554
12.312312,-22.587879
12.412412,-22.618009
12.512513,-22.647940
12.612613,-22.677670
12.712713,-22.707197
12.812813,-22.736517
12.912913,-22.765630
13.013013,-22.794532
13.113113,-22.823222
13.213213,-22.851698
13.313313,-22.879958
13.413413,-22.908000
13.513514,-22.935823
13.613614,-22.963425
13.713714,-22.990804
13.813814,-23.017960
13.913914,-23.044892
14.014014,-23.071597
14.114114,-23.098076
14.214214,-23.124327
14.314314,-23.150349
14.414414,-23.176141
14.514515,-23.201703
14.614615,-23.227034
14.714715,-23.252134
14.814815,-23.277002
14.914915,-23.301637
15.015015,-23.326040
15.115115,-23.350210
15.215215,-23.374147
15.315315,-23.397850
15.415415,-23.421321
15.515516,-23.444558
15.615616,-23.467561
15.715716,-23.490332
15.815816,-23.512870
15.915916,-23.535175
16.016016,-23.557248
16.116116,-23.579089
16.216216,-23.600698
16.316316,-23.622076
16.416416,-23.643224
16.516517,-23.664141
16.616617,-23.684829
16.716717,-23.705288
16.816817,-23.725519
16.916917,-23.745523
17.017017,-23.765301
17.117117,-23.784852
17.217217,-23.804179
17.317317,-23.823281
17.417417,-23.842161
17.517518,-23.860818
17.617618,-23.879255
17.717718,-23.897471
17.817818,-23.915469
17.917918,-23.933249
18.018018,-23.950812
18.118118,-23.968159
18.218218,-23.985293
18.318318,-24.002213
18.418418,-24.018921
18.518519,-24.035419
18.618619,-24.051707
18.718719,-24.067787
18.818819,-24.083661
18.918919,-24.099329
19.019019,-24.114794
19.119119,-24.130056
19.219219,-24.145117
19.319319,-24.159979
19.419419,-24.174642
19.519520,-24.189108
19.619620,-24.203380
19.719720,-24.217457
19.819820,-24.231342
19.919920,-24.245037
20.020020,-24.258542
20.120120,-24.271860
20.220220,-24.284992
20.320320,-24.297939
20.420420,-24.310704
20.520521,-24.323287
20.620621,-24.335690
20.720721,-24.347915
20.820821,-24.359964
20.920921,-24.371838
21.021021,-24.383538
21.121121,-24.395067
21.221221,-24.406425
21.321321,-24.417616
21.421421,-24.428639
21.521522,-24.439497
21.621622,-24.450192
21.721722,-24.460725
21.821822,-24.471097
21.921922,-24.481311
22.022022,-24.491368
22.122122,-24.501270
22.222222,-24.511017
22.322322,-24.520613
22.422422,-24.530059
22.522523,-24.539355
22.622623,-24.548504
22.722723,-24.557508
22.822823,-24.566368
22.922923,-24.575085
23.023023,-24.583662
23.123123,-24.592100
23.223223,-24.600400
23.323323,-24.608564
23.423423,-24.616594
23.523524,-24.624491
23.623624,-24.632257
23.723724,-24.639893
23.823824,-24.647401
23.923924,-24.654783
24.024024,-24.662040
24.124124,-24.669174
24.224224,-24.676186
24.324324,-24.683077
24.424424,-24.689850
24.524525,-24.696505
24.624625,-24.703045
24.724725,-24.709470
24.824825,-24.715783
24.924925,-24.721984
25.025025,-24.728076
25.125125,-24.734059
25.225225,-24.739935
25.325325,-24.745706
25.425425,-24.751373
25.525526,-24.756937
25.625626,-24.762399
25.725726,-24.767762
25.825826,-24.773027
25.925926,-24.778194
26.026026,-24.783266
26.126126,-24.788243
26.226226,-24.793128
26.326326,-24.797920
26.426426,-24.802623
26.526527,-24.807236
26.626627,-24.811761
26.726727,-24.816200
26.826827,-24.820554
26.926927,-24.824824
27.027027,-24.829011
27.127127,-24.833117
27.227227,-24.837143
27.327327,-24.841089
27.427427,-24.844958
27.527528,-24.848750
27.627628,-24.852467
27.727728,-24.856110
27.827828,-24.859680
27.927928,-24.863177
28.028028,-24.866604
28.128128,-24.869961
28.228228,-24.873250
28.328328,-24.876471
28.428428,-24.879626
28.528529,-24.882715
28.628629,-24.885741
28.728729,-24.888703
28.828829,-24.891603
28.928929,-24.894441
29.029029,-24.897220
29.129129,-24.899940
29.229229,-24.902602
29.329329,-24.905206
29.429429,-24.907754
29.529530,-24.910247
29.629630,-24.912686
29.729730,-24.915072
29.829830,-24.917405
29.929930,-24.919687
30.030030,-24.921918
30.130130,-24.924100
30.230230,-24.926232
30.330330,-24.928317
30.430430,-24.930355
30.530531,-24.932346
30.630631,-24.934292
30.730731,-24.936194
30.830831,-24.938052
30.930931,-24.939867
31.031031,-24.941639
31.131131,-24.943370
31.231231,-24.945061
31.331331,-24.946712
31.431431,-24.948323
31.531532,-24.949897
31.631632,-24.951432
31.731732,-24.952931
31.831832,-24.954393
31.931932,-24.955820
32.032032,-24.957212
32.132132,-24.958570
32.232232,-24.959894
32.332332,-24.961186
32.432432,-24.962445
32.532533,-24.963673
32.632633,-24.964870
32.732733,-24.966036
32.832833,-24.967173
32.932933,-24.968281
33.033033,-24.969360
33.133133,-24.970411
33.233233,-24.971435
33.333333,-24.972432
33.433433,-24.973403
33.533534,-24.974348
33.633634,-24.975268
33.733734,-24.976163
33.833834,-24.977034
33.933934,-24.977882
34.034034,-24.978706
34.134134,-24.979508
34.234234,-24.980288
34.334334,-24.981046
34.434434,-24.981783
34.534535,-24.982499
34.634635,-24.983195
34.734735,-24.983871
34.834835,-24.984528
34.934935,-24.985165
35.035035,-24.985785
35.135135,-24.986386
35.235235,-24.986969
35.335335,-24.987535
35.435435,-24.988085
35.535536,-24.988617
35.635636,-24.989134
35.735736,-24.989635
35.835836,-24.990120
35.935936,-24.990591
36.036036,-24.991047
36.136136,-24.991488
36.236236,-24.991916
36.336336,-24.992330
36.436436,-24.992730
36.536537,-24.993118
36.636637,-24.993493
36.736737,-24.993855
36.836837,-24.994206
36.936937,-24.994544
37.037037,-24.994872
37.137137,-24.995188
37.237237,-24.995493
37.337337,-24.995787
37.437437,-24.996072
37.537538,-24.996346
37.637638,-24.996610
37.737738,-24.996865
37.837838,-24.997110
37.937938,-24.997347
38.038038,-24.997574
38.138138,-24.997793
38.238238,-24.998003
38.338338,-24.998206
38.438438,-24.998400
38.538539,-24.998587
38.638639,-24.998766
38.738739,-24.998938
38.838839,-24.999103
38.938939,-24.999261
39.039039,-24.999413
39.139139,-24.999557
39.239239,-24.999696
39.339339,-24.999828
39.439439,-24.999955
39.539540,-25.000075
39.639640,-25.000190
39.739740,-25.000300
39.839840,-25.000404
39.939940,-25.000503
40.040040,-25.000598
40.140140,-25.000687
40.240240,-25.000772
40.340340,-25.000852
40.440440,-25.000928
40.540541,-25.001000
40.640641,-25.001067
40.740741,-25.001131
40.840841,-25.001190
40.940941,-25.001246
41.041041,-25.001299
41.141141,-25.001348
41.241241,-25.001393
41.341341,-25.001436
41.441441,-25.001475
41.541542,-25.001511
41.641642,-25.001544
41.741742,-25.001575
41.841842,-25.001603
41.941942,-25.001628
42.042042,-25.001650
42.142142,-25.001670
42.242242,-25.001688
42.342342,-25.001704
42.442442,-25.001717
42.542543,-25.001729
42.642643,-25.001738
42.742743,-25.001746
42.842843,-25.001751
42.942943,-25.001755
43.043043,-25.001757
43.143143,-25.001758
43.243243,-25.001757
43.343343,-25.001755
43.443443,-25.001751
43.543544,-25.001746
43.643644,-25.001739
43.743744,-25.001732
43.843844,-25.001723
43.943944,-25.001713
44.044044,-25.001702
44.144144,-25.001690
44.244244,-25.001677
44.344344,-25.001663
44.444444,-25.001648
44.544545,-25.001633
44.644645,-25.001617
44.744745,-25.001600
44.844845,-25.001582
44.944945,-25.001564
45.045045,-25.001545
45.145145,-25.001526
45.245245,-25.001506
45.345345,-25.001486
45.445445,-25.001465
45.545546,-25.001444
45.645646,-25.001422
45.745746,-25.001400
45.845846,-25.001378
45.945946,-25.001356
46.046046,-25.001333
46.146146,-25.001310
46.246246,-25.001287
46.346346,-25.001264
46.446446,-25.001241
46.546547,-25.001217
46.646647,-25.001194
46.746747,-25.001170
46.846847,-25.001146
46.946947,-25.001123
47.047047,-25.001099
47.147147,-25.001075
47.247247,-25.001052
47.347347,-25.001028
47.447447,-25.001005
47.547548,-25.000981
47.647648,-25.000958
47.747748,-25.000935
47.847848,-25.000912
47.947948,-25.000889
48.048048,-25.000866
48.148148,-25.000844
48.248248,-25.000822
48.348348,-25.000799
48.448448,-25.000777
48.548549,-25.000756
48.648649,-25.000734
48.748749,-25.000713
48.848849,-25.000692
48.948949,-25.000671
49.049049,-25.000651
49.149149,-25.000630
49.249249,-25.000610
49.349349,-25.000591
49.449449,-25.000571
49.549550,-25.000552
49.649650,-25.000533
49.749750,-25.000515
49.849850,-25.000497
49.949950,-25.000479
50.050050,-25.000461
50.150150,-25.000444
50.250250,-25.000427
50.350350,-25.000411
50.450450,-25.000394
50.550551,-25.000379
50.650651,-25.000363
50.750751,-25.000348
50.850851,-25.000333
50.950951,-25.000318
51.051051,-25.000304
51.151151,-25.000290
51.251251,-25.000277
51.351351,-25.000263
51.451451,-25.000250
51.551552,-25.000238
51.651652,-25.000226
51.751752,-25.000214
51.851852,-25.000202
51.951952,-25.000191
52.052052,-25.000180
52.152152,-25.000170
52.252252,-25.000160
52.352352,-25.000150
52.452452,-25.000140
52.552553,-25.000131
52.652653,-25.000122
52.752753,-25.000114
52.852853,-25.000106
52.952953,-25.000098
53.053053,-25.000090
53.153153,-25.000083
53.253253,-25.000076
53.353353,-25.000070
53.453453,-25.000063
53.553554,-25.000057
53.653654,-25.000052
53.753754,-25.000046
53.853854,-25.000041
53.953954,-25.000037
54.054054,-25.000032
54.154154,-25.000028
54.254254,-25.000024
