Time,Value
0.000000,-19.413665
0.010010,-15.486498
0.020020,-12.533790
0.030030,-10.318175
0.040040,-8.657925
0.050050,-7.414518
0.060060,-6.482827
0.070070,-5.783434
0.080080,-5.256613
0.090090,-4.857650
0.100100,-4.553222
0.110110,-4.318597
0.120120,-4.135494
0.130130,-3.990448
0.140140,-3.873569
0.150150,-3.777608
0.160160,-3.697255
0.170170,-3.628617
0.180180,-3.568837
0.190190,-3.515804
0.200200,-3.467952
0.210210,-3.424109
0.220220,-3.383390
0.230230,-3.345117
0.240240,-3.308769
0.250250,-3.273940
0.260260,-3.240312
0.270270,-3.207635
0.280280,-3.175713
0.290290,-3.144394
0.300300,-3.113558
0.310310,-3.083117
0.320320,-3.053004
0.330330,-3.023173
0.340340,-2.993592
0.350350,-2.964242
0.360360,-2.935115
0.370370,-2.906207
0.380380,-2.877522
0.390390,-2.849068
0.400400,-2.820852
0.410410,-2.792884
0.420420,-2.765175
0.430430,-2.737733
0.440440,-2.710566
0.450450,-2.683680
0.460460,-2.657081
0.470470,-2.630770
0.480480,-2.604749
0.490490,-2.579017
0.500501,-2.553571
0.510511,-2.528409
0.520521,-2.503526
0.530531,-2.478916
0.540541,-2.454573
0.550551,-2.430492
0.560561,-2.406665
0.570571,-2.383086
0.580581,-2.359748
0.590591,-2.336645
0.600601,-2.313772
0.610611,-2.291122
0.620621,-2.268691
0.630631,-2.246474
0.640641,-2.224467
0.650651,-2.202667
0.660661,-2.181070
0.670671,-2.159673
0.680681,-2.138476
0.690691,-2.117474
0.700701,-2.096668
0.710711,-2.076055
0.720721,-2.055635
0.730731,-2.035405
0.740741,-2.015367
0.750751,-1.995517
0.760761,-1.975857
0.770771,-1.956385
0.780781,-1.937100
0.790791,-1.918001
0.800801,-1.899088
0.810811,-1.880359
0.820821,-1.861814
0.830831,-1.843452
0.840841,-1.825271
0.850851,-1.807269
0.860861,-1.789447
0.870871,-1.771801
0.880881,-1.754331
0.890891,-1.737036
0.900901,-1.719913
0.910911,-1.702961
0.920921,-1.686178
0.930931,-1.669563
0.940941,-1.653114
0.950951,-1.636828
0.960961,-1.620706
0.970971,-1.604744
0.980981,-1.588940
0.990991,-1.573295
1.001001,-1.557804
1.011011,-1.542468
1.021021,-1.527284
1.031031,-1.512251
1.041041,-1.497367
1.051051,-1.482630
1.061061,-1.468040
1.071071,-1.453593
1.081081,-1.439290
1.091091,-1.425129
1.101101,-1.411107
1.111111,-1.397224
1.121121,-1.383478
1.131131,-1.369868
1.141141,-1.356393
1.151151,-1.343050
1.161161,-1.329839
1.171171,-1.316759
1.181181,-1.303807
1.191191,-1.290983
1.201201,-1.278285
1.211211,-1.265713
1.221221,-1.253264
1.231231,-1.240937
1.241241,-1.228732
1.251251,-1.216647
1.261261,-1.204680
1.271271,-1.192830
1.281281,-1.181097
1.291291,-1.169479
1.301301,-1.157974
1.311311,-1.146581
1.321321,-1.135301
1.331331,-1.124130
1.341341,-1.113068
1.351351,-1.102114
1.361361,-1.091267
1.371371,-1.080525
1.381381,-1.069888
1.391391,-1.059355
1.401401,-1.048924
1.411411,-1.038595
1.421421,-1.028366
1.431431,-1.018236
1.441441,-1.008205
1.451451,-0.998272
1.461461,-0.988435
1.471471,-0.978694
1.481481,-0.969048
1.491491,-0.959495
1.501502,-0.950036
1.511512,-0.940669
1.521522,-0.931394
1.531532,-0.922209
1.541542,-0.913114
1.551552,-0.904107
1.561562,-0.895189
1.571572,-0.886359
1.581582,-0.877615
1.591592,-0.868957
1.601602,-0.860383
1.611612,-0.851895
1.621622,-0.843489
1.631632,-0.835167
1.641642,-0.826927
1.651652,-0.818768
1.661662,-0.810689
1.671672,-0.802691
1.681682,-0.794771
1.691692,-0.786930
1.701702,-0.779166
1.711712,-0.771480
1.721722,-0.763869
1.731732,-0.756334
1.741742,-0.748874
1.751752,-0.741487
1.761762,-0.734174
1.771772,-0.726934
1.781782,-0.719765
1.791792,-0.712667
1.801802,-0.705639
1.811812,-0.698681
1.821822,-0.691792
1.831832,-0.684971
1.841842,-0.678217
1.851852,-0.671530
1.861862,-0.664909
1.871872,-0.658353
1.881882,-0.651862
1.891892,-0.645435
1.901902,-0.639071
1.911912,-0.632769
1.921922,-0.626530
1.931932,-0.620351
1.941942,-0.614234
1.951952,-0.608176
1.961962,-0.602177
1.971972,-0.596237
1.981982,-0.590355
1.991992,-0.584531
2.002002,-0.578763
2.012012,-0.573052
2.022022,-0.567397
2.032032,-0.561796
2.042042,-0.556251
2.052052,-0.550759
2.062062,-0.545321
2.072072,-0.539936
2.082082,-0.534604
2.092092,-0.529323
2.102102,-0.524094
2.112112,-0.518917
2.122122,-0.513790
2.132132,-0.508713
2.142142,-0.503686
2.152152,-0.498708
2.162162,-0.493779
2.172172,-0.488899
2.182182,-0.484067
2.192192,-0.479282
2.202202,-0.474545
2.212212,-0.469855
2.222222,-0.465211
2.232232,-0.460613
2.242242,-0.456061
2.252252,-0.451555
2.262262,-0.447093
2.272272,-0.442676
2.282282,-0.438303
2.292292,-0.433975
2.302302,-0.429690
2.312312,-0.425448
2.322322,-0.421249
2.332332,-0.417092
2.342342,-0.412977
2.352352,-0.408905
2.362362,-0.404873
2.372372,-0.400883
2.382382,-0.396933
2.392392,-0.393023
2.402402,-0.389153
2.412412,-0.385323
2.422422,-0.381532
2.432432,-0.377780
2.442442,-0.374065
2.452452,-0.370389
2.462462,-0.366750
2.472472,-0.363149
2.482482,-0.359584
2.492492,-0.356056
2.502503,-0.352563
2.512513,-0.349106
2.522523,-0.345684
2.532533,-0.342297
2.542543,-0.338944
2.552553,-0.335624
2.562563,-0.332339
2.572573,-0.329086
2.582583,-0.325866
2.592593,-0.322678
2.602603,-0.319523
2.612613,-0.316398
2.622623,-0.313305
2.632633,-0.310242
2.642643,-0.307209
2.652653,-0.304206
