Time,Value
0.000000,-19.413665
0.033333,-4.393879
0.066667,-3.566963
0.100000,-3.923267
0.133333,-3.787346
0.166667,-3.508630
0.200000,-3.333943
0.233333,-3.261323
0.266667,-3.213538
0.300000,-3.140509
0.333333,-3.035294
0.366667,-2.914285
0.400000,-2.796218
0.433333,-2.691689
0.466667,-2.602100
0.500000,-2.523234
0.533333,-2.449438
0.566667,-2.376397
0.600000,-2.302126
0.633333,-2.226684
0.666667,-2.151305
0.700000,-2.077504
0.733333,-2.006468
0.766667,-1.938795
0.800000,-1.874518
0.833333,-1.813280
0.866667,-1.754560
0.900000,-1.697857
0.933333,-1.642803
0.966667,-1.589200
1.000000,-1.537003
1.033333,-1.486263
1.066667,-1.437077
1.100000,-1.389533
1.133333,-1.343676
1.166667,-1.299505
1.200000,-1.256964
1.233333,-1.215963
1.266667,-1.176394
1.300000,-1.138144
1.333333,-1.101112
1.366667,-1.065215
1.400000,-1.030391
1.433333,-0.996598
1.466667,-0.963813
1.500000,-0.932021
1.533333,-0.901219
1.566667,-0.871402
1.600000,-0.842565
1.633333,-0.814702
1.666667,-0.787799
1.700000,-0.761838
1.733333,-0.736795
1.766667,-0.712641
1.800000,-0.689342
1.833333,-0.666859
1.866667,-0.645154
1.900000,-0.624183
1.933333,-0.603903
1.966667,-0.584273
2.000000,-0.565254
2.033333,-0.546811
2.066667,-0.528913
2.100000,-0.511536
2.133333,-0.494664
2.166667,-0.478284
2.200000,-0.462392
2.233333,-0.446987
2.266667,-0.432074
2.300000,-0.417657
2.333333,-0.403742
2.366667,-0.390334
2.400000,-0.377432
2.433333,-0.365033
2.466667,-0.353127
2.500000,-0.341699
2.533333,-0.330729
2.566667,-0.320189
2.600000,-0.310051
2.633333,-0.300280
2.666667,-0.290843
2.700000,-0.281704
2.733333,-0.272833
2.766667,-0.264200
2.800000,-0.255781
2.833333,-0.247558
2.866667,-0.239519
2.900000,-0.231656
2.933333,-0.223968
2.966667,-0.216460
3.000000,-0.209140
3.033333,-0.202018
3.066667,-0.195107
3.100000,-0.188420
3.133333,-0.181969
3.166667,-0.175763
3.200000,-0.169810
3.233333,-0.164111
3.266667,-0.158666
3.300000,-0.153470
3.333333,-0.148513
3.366667,-0.143783
3.400000,-0.139262
3.433333,-0.134932
3.466667,-0.130773
3.500000,-0.126764
3.533333,-0.122886
3.566667,-0.119118
3.600000,-0.115444
3.633333,-0.111849
3.666667,-0.108321
3.700000,-0.104851
3.733333,-0.101436
3.766667,-0.098072
3.800000,-0.094762
3.833333,-0.091508
3.866667,-0.088318
3.900000,-0.085198
3.933333,-0.082157
3.966667,-0.079204
4.000000,-0.076347
4.033333,-0.073595
4.066667,-0.070953
4.100000,-0.068427
4.133333,-0.066019
4.166667,-0.063730
4.200000,-0.061558
4.233333,-0.059500
4.266667,-0.057550
4.300000,-0.055702
4.333333,-0.053945
4.366667,-0.052271
4.400000,-0.050669
4.433333,-0.049129
4.466667,-0.047640
4.500000,-0.046193
4.533333,-0.044779
4.566667,-0.043389
4.600000,-0.042019
4.633333,-0.040662
4.666667,-0.039317
4.700000,-0.037980
4.733333,-0.036653
4.766667,-0.035336
4.800000,-0.034033
4.833333,-0.032746
4.866667,-0.031481
4.900000,-0.030242
4.933333,-0.029034
4.966667,-0.027863
5.000000,-0.026734
5.033333,-0.025650
5.066667,-0.024615
5.100000,-0.023633
