Time,Value
0.000000,0.900000
0.010010,0.899839
0.020020,0.897444
0.030030,0.893409
0.040040,0.888181
0.050050,0.882090
0.060060,0.875380
0.070070,0.868236
0.080080,0.860790
0.090090,0.853142
0.100100,0.845365
0.110110,0.837514
0.120120,0.829627
0.130130,0.821734
0.140140,0.813857
0.150150,0.806011
0.160160,0.798208
0.170170,0.790456
0.180180,0.782762
0.190190,0.775129
0.200200,0.767562
0.210210,0.760061
0.220220,0.752628
0.230230,0.745265
0.240240,0.737971
0.250250,0.730747
0.260260,0.723593
0.270270,0.716507
0.280280,0.709490
0.290290,0.702540
0.300300,0.695658
0.310310,0.688843
0.320320,0.682094
0.330330,0.675410
0.340340,0.668791
0.350350,0.662236
0.360360,0.655745
0.370370,0.649316
0.380380,0.642950
0.390390,0.636645
0.400400,0.630401
0.410410,0.624218
0.420420,0.618095
0.430430,0.612032
0.440440,0.606027
0.450450,0.600081
0.460460,0.594193
0.470470,0.588363
0.480480,0.582589
0.490490,0.576872
0.500501,0.571211
0.510511,0.565605
0.520521,0.560054
0.530531,0.554557
0.540541,0.549114
0.550551,0.543724
0.560561,0.538388
0.570571,0.533103
0.580581,0.527870
0.590591,0.522688
0.600601,0.517557
0.610611,0.512476
0.620621,0.507445
0.630631,0.502463
0.640641,0.497530
0.650651,0.492645
0.660661,0.487807
0.670671,0.483017
0.680681,0.478273
0.690691,0.473576
0.700701,0.468925
0.710711,0.464319
0.720721,0.459758
0.730731,0.455241
0.740741,0.450769
0.750751,0.446340
0.760761,0.441955
0.770771,0.437612
0.780781,0.433312
0.790791,0.429054
0.800801,0.424837
0.810811,0.420662
0.820821,0.416527
0.830831,0.412433
0.840841,0.408379
0.850851,0.404365
0.860861,0.400390
0.870871,0.396454
0.880881,0.392556
0.890891,0.388697
0.900901,0.384875
0.910911,0.381091
0.920921,0.377344
0.930931,0.373634
0.940941,0.369960
0.950951,0.366322
0.960961,0.362720
0.970971,0.359153
0.980981,0.355621
0.990991,0.352124
1.001001,0.348661
1.011011,0.345232
1.021021,0.341837
1.031031,0.338475
1.041041,0.335146
1.051051,0.331850
1.061061,0.328586
1.071071,0.325354
1.081081,0.322154
1.091091,0.318985
1.101101,0.315848
1.111111,0.312741
1.121121,0.309665
1.131131,0.306619
1.141141,0.303602
1.151151,0.300616
1.161161,0.297659
1.171171,0.294730
1.181181,0.291831
1.191191,0.288960
1.201201,0.286117
1.211211,0.283302
1.221221,0.280515
1.231231,0.277755
1.241241,0.275022
1.251251,0.272316
1.261261,0.269637
1.271271,0.266984
1.281281,0.264357
1.291291,0.261755
1.301301,0.259180
1.311311,0.256629
1.321321,0.254104
1.331331,0.251603
1.341341,0.249127
1.351351,0.246675
1.361361,0.244247
1.371371,0.241843
1.381381,0.239462
1.391391,0.237105
1.401401,0.234771
1.411411,0.232460
1.421421,0.230172
1.431431,0.227906
1.441441,0.225662
1.451451,0.223440
1.461461,0.221240
1.471471,0.219062
1.481481,0.216905
1.491491,0.214769
1.501502,0.212654
1.511512,0.210560
1.521522,0.208487
1.531532,0.206433
1.541542,0.204400
1.551552,0.202387
1.561562,0.200394
1.571572,0.198420
1.581582,0.196465
1.591592,0.194530
1.601602,0.192614
1.611612,0.190717
1.621622,0.188838
1.631632,0.186977
1.641642,0.185135
1.651652,0.183311
1.661662,0.181505
1.671672,0.179717
1.681682,0.177946
1.691692,0.176193
1.701702,0.174457
1.711712,0.172738
1.721722,0.171036
1.731732,0.169351
1.741742,0.167682
1.751752,0.166030
1.761762,0.164393
1.771772,0.162773
1.781782,0.161169
1.791792,0.159581
1.801802,0.158008
1.811812,0.156451
1.821822,0.154909
1.831832,0.153383
1.841842,0.151871
1.851852,0.150374
1.861862,0.148892
1.871872,0.147425
1.881882,0.145972
1.891892,0.144533
1.901902,0.143108
1.911912,0.141698
1.921922,0.140301
1.931932,0.138918
1.941942,0.137549
1.951952,0.136193
1.961962,0.134850
1.971972,0.133521
1.981982,0.132205
1.991992,0.130902
2.002002,0.129611
2.012012,0.128333
2.022022,0.127068
2.032032,0.125816
2.042042,0.124575
2.052052,0.123347
2.062062,0.122131
2.072072,0.120927
2.082082,0.119735
2.092092,0.118554
2.102102,0.117386
2.112112,0.116228
2.122122,0.115082
2.132132,0.113948
2.142142,0.112824
2.152152,0.111712
2.162162,0.110611
2.172172,0.109520
2.182182,0.108441
2.192192,0.107372
2.202202,0.106313
2.212212,0.105265
2.222222,0.104227
2.232232,0.103200
2.242242,0.102183
2.252252,0.101176
2.262262,0.100178
2.272272,0.099191
2.282282,0.098213
2.292292,0.097246
2.302302,0.096287
2.312312,0.095338
2.322322,0.094399
2.332332,0.093469
2.342342,0.092548
2.352352,0.091636
2.362362,0.090733
2.372372,0.089840
2.382382,0.088955
2.392392,0.088079
2.402402,0.087211
2.412412,0.086352
2.422422,0.085502
2.432432,0.084660
2.442442,0.083826
2.452452,0.083001
2.462462,0.082184
2.472472,0.081375
2.482482,0.080574
2.492492,0.079781
2.502503,0.078996
2.512513,0.078218
2.522523,0.077449
2.532533,0.076687
2.542543,0.075932
2.552553,0.075185
2.562563,0.074445
2.572573,0.073713
2.582583,0.072988
2.592593,0.072270
2.602603,0.071559
2.612613,0.070855
2.622623,0.070158
2.632633,0.069468
2.642643,0.068785
2.652653,0.068108
2.662663,0.067438
2.672673,0.066775
2.682683,0.066118
2.692693,0.065468
2.702703,0.064824
2.712713,0.064186
2.722723,0.063555
2.732733,0.062930
2.742743,0.062311
2.752753,0.061698
2.762763,0.061091
2.772773,0.060490
2.782783,0.059895
2.792793,0.059305
2.802803,0.058722
2.812813,0.058144
2.822823,0.057572
2.832833,0.057005
2.842843,0.056444
2.852853,0.055888
2.862863,0.055338
2.872873,0.054793
2.882883,0.054253
2.892893,0.053719
2.902903,0.053190
2.912913,0.052666
2.922923,0.052147
2.932933,0.051633
2.942943,0.051125
2.952953,0.050621
2.962963,0.050122
2.972973,0.049628
2.982983,0.049139
2.992993,0.048654
3.003003,0.048174
3.013013,0.047699
3.023023,0.047229
3.033033,0.046763
3.043043,0.046302
3.053053,0.045845
3.063063,0.045393
3.073073,0.044945
3.083083,0.044501
3.093093,0.044062
3.103103,0.043627
3.113113,0.043197
3.123123,0.042770
3.133133,0.042348
3.143143,0.041930
3.153153,0.041516
3.163163,0.041106
3.173173,0.040701
3.183183,0.040299
3.193193,0.039901
3.203203,0.039507
3.213213,0.039117
3.223223,0.038730
3.233233,0.038348
3.243243,0.037969
3.253253,0.037594
3.263263,0.037223
3.273273,0.036855
3.283283,0.036491
3.293293,0.036131
3.303303,0.035774
3.313313,0.035420
3.323323,0.035071
3.333333,0.034724
3.343343,0.034381
3.353353,0.034042
3.363363,0.033705
3.373373,0.033372
3.383383,0.033043
3.393393,0.032716
3.403403,0.032393
3.413413,0.032073
3.423423,0.031756
3.433433,0.031442
3.443443,0.031131
3.453453,0.030824
3.463463,0.030519
3.473473,0.030217
3.483483,0.029919
3.493493,0.029623
3.503504,0.029330
3.513514,0.029040
3.523524,0.028753
3.533534,0.028468
3.543544,0.028186
3.553554,0.027908
3.563564,0.027631
3.573574,0.027358
3.583584,0.027087
3.593594,0.026819
3.603604,0.026553
3.613614,0.026290
3.623624,0.026029
3.633634,0.025771
3.643644,0.025516
3.653654,0.025263
3.663664,0.025012
3.673674,0.024764
3.683684,0.024518
3.693694,0.024274
3.703704,0.024033
3.713714,0.023794
3.723724,0.023558
3.733734,0.023324
3.743744,0.023092
3.753754,0.022862
3.763764,0.022634
3.773774,0.022409
3.783784,0.022186
3.793794,0.021964
3.803804,0.021745
3.813814,0.021529
3.823824,0.021314
3.833834,0.021101
3.843844,0.020890
3.853854,0.020682
3.863864,0.020475
3.873874,0.020270
3.883884,0.020067
3.893894,0.019866
3.903904,0.019668
3.913914,0.019471
3.923924,0.019276
3.933934,0.019082
3.943944,0.018891
3.953954,0.018702
3.963964,0.018514
3.973974,0.018328
3.983984,0.018144
3.993994,0.017962
4.004004,0.017781
4.014014,0.017602
4.024024,0.017425
4.034034,0.017250
4.044044,0.017077
4.054054,0.016905
4.064064,0.016734
4.074074,0.016566
4.084084,0.016399
4.094094,0.016234
4.104104,0.016070
4.114114,0.015908
4.124124,0.015748
4.134134,0.015589
4.144144,0.015431
4.154154,0.015276
4.164164,0.015121
4.174174,0.014969
4.184184,0.014818
4.194194,0.014668
4.204204,0.014520
4.214214,0.014373
4.224224,0.014228
4.234234,0.014084
4.244244,0.013941
4.254254,0.013800
4.264264,0.013661
4.274274,0.013522
4.284284,0.013385
4.294294,0.013250
4.304304,0.013116
4.314314,0.012983
4.324324,0.012851
4.334334,0.012721
4.344344,0.012592
4.354354,0.012465
4.364364,0.012338
4.374374,0.012213
4.384384,0.012089
4.394394,0.011966
4.404404,0.011845
4.414414,0.011725
4.424424,0.011606
4.434434,0.011488
4.444444,0.011371
4.454454,0.011255
4.464464,0.011141
4.474474,0.011027
4.484484,0.010915
4.494494,0.010804
4.504505,0.010694
4.514515,0.010585
4.524525,0.010477
4.534535,0.010370
4.544545,0.010264
4.554555,0.010159
4.564565,0.010055
4.574575,0.009953
4.584585,0.009851
4.594595,0.009750
4.604605,0.009650
4.614615,0.009551
4.624625,0.009453
4.634635,0.009356
4.644645,0.009260
4.654655,0.009165
4.664665,0.009071
4.674675,0.008977
4.684685,0.008885
4.694695,0.008794
4.704705,0.008703
4.714715,0.008613
4.724725,0.008524
4.734735,0.008436
4.744745,0.008349
4.754755,0.008263
4.764765,0.008177
4.774775,0.008092
4.784785,0.008008
4.794795,0.007925
4.804805,0.007843
4.814815,0.007762
4.824825,0.007681
4.834835,0.007601
4.844845,0.007522
4.854855,0.007444
4.864865,0.007366
4.874875,0.007289
4.884885,0.007213
4.894895,0.007138
4.904905,0.007063
4.914915,0.006990
4.924925,0.006917
4.934935,0.006844
4.944945,0.006773
4.954955,0.006702
4.964965,0.006632
4.974975,0.006562
4.984985,0.006494
4.994995,0.006425
5.005005,0.006358
5.015015,0.006292
5.025025,0.006226
5.035035,0.006160
5.045045,0.006096
5.055055,0.006032
5.065065,0.005969
5.075075,0.005906
5.085085,0.005844
5.095095,0.005783
5.105105,0.005723
5.115115,0.005663
5.125125,0.005603
5.135135,0.005545
5.145145,0.005487
5.155155,0.005430
5.165165,0.005373
5.175175,0.005317
5.185185,0.005261
5.195195,0.005207
5.205205,0.005152
5.215215,0.005099
5.225225,0.005046
5.235235,0.004993
5.245245,0.004942
5.255255,0.004890
5.265265,0.004840
5.275275,0.004790
5.285285,0.004740
5.295295,0.004691
5.305305,0.004643
5.315315,0.004595
5.325325,0.004548
5.335335,0.004501
5.345345,0.004455
5.355355,0.004409
5.365365,0.004364
5.375375,0.004320
5.385385,0.004276
5.395395,0.004232
5.405405,0.004189
5.415415,0.004147
5.425425,0.004104
5.435435,0.004063
5.445445,0.004022
5.455455,0.003981
5.465465,0.003941
5.475475,0.003902
5.485485,0.003862
5.495495,0.003824
5.505506,0.003785
5.515516,0.003747
5.525526,0.003710
5.535536,0.003673
5.545546,0.003636
5.555556,0.003600
5.565566,0.003565
5.575576,0.003529
5.585586,0.003494
5.595596,0.003460
5.605606,0.003426
5.615616,0.003392
5.625626,0.003358
5.635636,0.003325
5.645646,0.003293
5.655656,0.003260
5.665666,0.003228
5.675676,0.003197
5.685686,0.003165
5.695696,0.003134
5.705706,0.003104
5.715716,0.003073
5.725726,0.003043
5.735736,0.003014
5.745746,0.002984
5.755756,0.002955
5.765766,0.002926
5.775776,0.002898
5.785786,0.002870
5.795796,0.002842
5.805806,0.002814
5.815816,0.002787
5.825826,0.002759
5.835836,0.002733
5.845846,0.002706
5.855856,0.002680
5.865866,0.002653
5.875876,0.002628
5.885886,0.002602
5.895896,0.002576
5.905906,0.002551
5.915916,0.002526
5.925926,0.002501
5.935936,0.002477
5.945946,0.002453
5.955956,0.002428
5.965966,0.002405
5.975976,0.002381
5.985986,0.002357
5.995996,0.002334
6.006006,0.002311
6.016016,0.002288
6.026026,0.002265
6.036036,0.002243
6.046046,0.002220
6.056056,0.002198
6.066066,0.002176
6.076076,0.002155
6.086086,0.002133
6.096096,0.002111
6.106106,0.002090
6.116116,0.002069
6.126126,0.002048
6.136136,0.002027
6.146146,0.002007
6.156156,0.001987
6.166166,0.001966
6.176176,0.001946
6.186186,0.001926
6.196196,0.001907
6.206206,0.001887
6.216216,0.001868
6.226226,0.001849
6.236236,0.001830
6.246246,0.001811
6.256256,0.001792
6.266266,0.001773
6.276276,0.001755
6.286286,0.001737
6.296296,0.001719
6.306306,0.001701
6.316316,0.001683
6.326326,0.001666
6.336336,0.001649
6.346346,0.001632
6.356356,0.001615
6.366366,0.001598
6.376376,0.001581
6.386386,0.001565
6.396396,0.001549
6.406406,0.001533
6.416416,0.001517
6.426426,0.001501
6.436436,0.001486
6.446446,0.001470
6.456456,0.001455
6.466466,0.001440
6.476476,0.001426
6.486486,0.001411
6.496496,0.001397
6.506507,0.001383
6.516517,0.001369
6.526527,0.001355
6.536537,0.001341
6.546547,0.001328
6.556557,0.001315
6.566567,0.001302
6.576577,0.001289
6.586587,0.001277
6.596597,0.001264
6.606607,0.001252
6.616617,0.001240
6.626627,0.001228
6.636637,0.001217
6.646647,0.001205
6.656657,0.001194
6.666667,0.001183
6.676677,0.001172
6.686687,0.001162
6.696697,0.001151
6.706707,0.001141
6.716717,0.001131
6.726727,0.001121
6.736737,0.001111
6.746747,0.001102
6.756757,0.001093
6.766767,0.001083
6.776777,0.001074
6.786787,0.001066
6.796797,0.001057
6.806807,0.001048
6.816817,0.001040
6.826827,0.001032
6.836837,0.001024
6.846847,0.001016
6.856857,0.001008
6.866867,0.001001
6.876877,0.000993
6.886887,0.000986
6.896897,0.000979
6.906907,0.000972
6.916917,0.000965
6.926927,0.000958
6.936937,0.000951
6.946947,0.000945
6.956957,0.000938
6.966967,0.000932
6.976977,0.000926
6.986987,0.000919
6.996997,0.000913
7.007007,0.000907
7.017017,0.000901
7.027027,0.000896
7.037037,0.000890
7.047047,0.000884
7.057057,0.000878
7.067067,0.000873
7.077077,0.000867
7.087087,0.000862
7.097097,0.000856
7.107107,0.000851
7.117117,0.000845
7.127127,0.000840
7.137137,0.000835
7.147147,0.000830
7.157157,0.000824
7.167167,0.000819
7.177177,0.000814
7.187187,0.000809
7.197197,0.000804
7.207207,0.000799
7.217217,0.000794
7.227227,0.000789
7.237237,0.000784
7.247247,0.000779
7.257257,0.000774
7.267267,0.000769
7.277277,0.000764
7.287287,0.000759
7.297297,0.000754
7.307307,0.000749
7.317317,0.000744
7.327327,0.000739
7.337337,0.000734
7.347347,0.000730
7.357357,0.000725
7.367367,0.000720
7.377377,0.000715
7.387387,0.000710
7.397397,0.000706
7.407407,0.000701
7.417417,0.000696
7.427427,0.000691
7.437437,0.000687
7.447447,0.000682
7.457457,0.000678
7.467467,0.000673
7.477477,0.000669
7.487487,0.000664
7.497497,0.000660
7.507508,0.000655
7.517518,0.000651
7.527528,0.000646
7.537538,0.000642
7.547548,0.000638
7.557558,0.000633
7.567568,0.000629
7.577578,0.000625
7.587588,0.000621
7.597598,0.000617
7.607608,0.000612
7.617618,0.000608
7.627628,0.000604
7.637638,0.000600
7.647648,0.000596
7.657658,0.000592
7.667668,0.000588
7.677678,0.000584
7.687688,0.000580
7.697698,0.000576
7.707708,0.000573
7.717718,0.000569
7.727728,0.000565
7.737738,0.000561
7.747748,0.000557
7.757758,0.000553
7.767768,0.000549
7.777778,0.000546
7.787788,0.000542
7.797798,0.000538
7.807808,0.000534
7.817818,0.000530
7.827828,0.000526
7.837838,0.000522
7.847848,0.000518
7.857858,0.000514
7.867868,0.000510
7.877878,0.000506
7.887888,0.000502
7.897898,0.000498
7.907908,0.000493
7.917918,0.000489
7.927928,0.000485
7.937938,0.000480
7.947948,0.000476
7.957958,0.000471
7.967968,0.000467
7.977978,0.000462
7.987988,0.000457
7.997998,0.000452
8.008008,0.000447
8.018018,0.000442
8.028028,0.000437
8.038038,0.000432
8.048048,0.000427
8.058058,0.000421
8.068068,0.000416
8.078078,0.000410
8.088088,0.000405
8.098098,0.000399
8.108108,0.000393
8.118118,0.000387
8.128128,0.000381
8.138138,0.000375
8.148148,0.000369
8.158158,0.000363
8.168168,0.000357
8.178178,0.000351
8.188188,0.000344
8.198198,0.000338
8.208208,0.000331
8.218218,0.000325
8.228228,0.000318
8.238238,0.000311
8.248248,0.000304
8.258258,0.000298
8.268268,0.000291
8.278278,0.000284
8.288288,0.000277
8.298298,0.000270
8.308308,0.000263
8.318318,0.000256
8.328328,0.000249
8.338338,0.000242
8.348348,0.000235
8.358358,0.000228
8.368368,0.000221
8.378378,0.000214
8.388388,0.000208
8.398398,0.000201
8.408408,0.000194
8.418418,0.000187
8.428428,0.000180
8.438438,0.000174
8.448448,0.000167
8.458458,0.000161
8.468468,0.000154
8.478478,0.000148
8.488488,0.000142
8.498498,0.000136
8.508509,0.000130
8.518519,0.000124
8.528529,0.000118
8.538539,0.000112
8.548549,0.000107
8.558559,0.000101
8.568569,0.000096
8.578579,0.000091
8.588589,0.000086
8.598599,0.000082
8.608609,0.000077
8.618619,0.000073
8.628629,0.000069
8.638639,0.000065
8.648649,0.000061
8.658659,0.000058
8.668669,0.000054
8.678679,0.000051
8.688689,0.000048
8.698699,0.000046
8.708709,0.000043
8.718719,0.000041
8.728729,0.000039
8.738739,0.000038
8.748749,0.000036
8.758759,0.000035
8.768769,0.000034
8.778779,0.000033
8.788789,0.000033
8.798799,0.000033
8.808809,0.000033
8.818819,0.000033
8.828829,0.000034
8.838839,0.000035
8.848849,0.000036
8.858859,0.000037
8.868869,0.000039
8.878879,0.000040
8.888889,0.000042
8.898899,0.000045
8.908909,0.000047
8.918919,0.000050
8.928929,0.000052
8.938939,0.000055
8.948949,0.000059
8.958959,0.000062
8.968969,0.000065
8.978979,0.000069
8.988989,0.000072
8.998999,0.000076
9.009009,0.000080
9.019019,0.000084
9.029029,0.000088
9.039039,0.000092
9.049049,0.000096
9.059059,0.000099
9.069069,0.000103
9.079079,0.000107
9.089089,0.000111
9.099099,0.000115
9.109109,0.000118
9.119119,0.000122
9.129129,0.000125
9.139139,0.000128
9.149149,0.000131
9.159159,0.000134
9.169169,0.000137
9.179179,0.000139
9.189189,0.000141
9.199199,0.000143
9.209209,0.000145
9.219219,0.000146
9.229229,0.000147
9.239239,0.000148
9.249249,0.000148
9.259259,0.000149
9.269269,0.000148
9.279279,0.000148
9.289289,0.000147
9.299299,0.000146
9.309309,0.000144
9.319319,0.000143
9.329329,0.000141
9.339339,0.000138
9.349349,0.000135
9.359359,0.000132
9.369369,0.000129
9.379379,0.000125
9.389389,0.000121
9.399399,0.000117
9.409409,0.000113
9.419419,0.000108
9.429429,0.000103
9.439439,0.000098
9.449449,0.000092
9.459459,0.000087
9.469469,0.000081
9.479479,0.000076
9.489489,0.000070
9.499499,0.000064
9.509510,0.000058
9.519520,0.000052
9.529530,0.000046
9.539540,0.000041
9.549550,0.000035
9.559560,0.000029
9.569570,0.000024
9.579580,0.000019
9.589590,0.000014
9.599600,0.000009
9.609610,0.000004
9.619620,-0.000000
9.629630,-0.000004
9.639640,-0.000008
9.649650,-0.000011
9.659660,-0.000014
9.669670,-0.000017
9.679680,-0.000019
9.689690,-0.000021
9.699700,-0.000023
9.709710,-0.000024
9.719720,-0.000025
9.729730,-0.000025
9.739740,-0.000025
9.749750,inf
9.759760,inf
9.769770,-nan
9.779780,-nan
9.789790,-nan
9.799800,-nan
9.809810,-nan
9.819820,-nan
9.829830,-nan
9.839840,-nan
9.849850,-nan
9.859860,-nan
9.869870,-nan
9.879880,-nan
9.889890,-nan
9.899900,-nan
9.909910,-nan
9.919920,-nan
9.929930,-nan
9.939940,-nan
9.949950,-nan
9.959960,-nan
9.969970,-nan
9.979980,-nan
9.989990,-nan
10.000000,-nan
