Time,Value
0.000000,0.900000
0.033333,0.904000
0.066667,0.874544
0.100000,0.845501
0.133333,0.818185
0.166667,0.791437
0.200000,0.765282
0.233333,0.740058
0.266667,0.715859
0.300000,0.692557
0.333333,0.669988
0.366667,0.648061
0.400000,0.626766
0.433333,0.606134
0.466667,0.586194
0.500000,0.566948
0.533333,0.548373
0.566667,0.530432
0.600000,0.513082
0.633333,0.496289
0.666667,0.480027
0.700000,0.464281
0.733333,0.449039
0.766667,0.434292
0.800000,0.420031
0.833333,0.406242
0.866667,0.392911
0.900000,0.380022
0.933333,0.367559
0.966667,0.355504
1.000000,0.343845
1.033333,0.332566
1.066667,0.321657
1.100000,0.311105
1.133333,0.300899
1.166667,0.291030
1.200000,0.281486
1.233333,0.272258
1.266667,0.263333
1.300000,0.254702
1.333333,0.246355
1.366667,0.238281
1.400000,0.230471
1.433333,0.222915
1.466667,0.215605
1.500000,0.208534
1.533333,0.201693
1.566667,0.195075
1.600000,0.188674
1.633333,0.182483
1.666667,0.176495
1.700000,0.170705
1.733333,0.165106
1.766667,0.159692
1.800000,0.154457
1.833333,0.149395
1.866667,0.144500
1.900000,0.139766
1.933333,0.135188
1.966667,0.130760
2.000000,0.126477
2.033333,0.122334
2.066667,0.118325
2.100000,0.114447
2.133333,0.110695
2.166667,0.107065
2.200000,0.103554
2.233333,0.100157
2.266667,0.096871
2.300000,0.093694
2.333333,0.090623
2.366667,0.087654
2.400000,0.084784
2.433333,0.082011
2.466667,0.079332
2.500000,0.076743
2.533333,0.074242
2.566667,0.071825
2.600000,0.069489
2.633333,0.067230
2.666667,0.065047
2.700000,0.062935
2.733333,0.060891
2.766667,0.058913
2.800000,0.056997
2.833333,0.055142
2.866667,0.053345
2.900000,0.051604
2.933333,0.049917
2.966667,0.048282
3.000000,0.046699
3.033333,0.045166
3.066667,0.043682
3.100000,0.042246
3.133333,0.040857
3.166667,0.039513
3.200000,0.038215
3.233333,0.036961
3.266667,0.035749
3.300000,0.034579
3.333333,0.033450
3.366667,0.032359
3.400000,0.031306
3.433333,0.030289
3.466667,0.029306
