Time,Value
0.000000,0.120000
0.010010,-0.139085
0.020020,-0.329659
0.030030,-0.469000
0.040040,-0.570146
0.050050,-0.642899
0.060060,-0.694599
0.070070,-0.730725
0.080080,-0.755349
0.090090,-0.771492
0.100100,-0.781386
0.110110,-0.786680
0.120120,-0.788588
0.130130,-0.788005
0.140140,-0.785590
0.150150,-0.781830
0.160160,-0.777086
0.170170,-0.771624
0.180180,-0.765645
0.190190,-0.759299
0.200200,-0.752698
0.210210,-0.745927
0.220220,-0.739052
0.230230,-0.732119
0.240240,-0.725168
0.250250,-0.718224
0.260260,-0.711308
0.270270,-0.704435
0.280280,-0.697615
0.290290,-0.690855
0.300300,-0.684158
0.310310,-0.677528
0.320320,-0.670964
0.330330,-0.664466
0.340340,-0.658033
0.350350,-0.651663
0.360360,-0.645355
0.370370,-0.639107
0.380380,-0.632916
0.390390,-0.626782
0.400400,-0.620703
0.410410,-0.614678
0.420420,-0.608705
0.430430,-0.602785
0.440440,-0.596916
0.450450,-0.591099
0.460460,-0.585334
0.470470,-0.579620
0.480480,-0.573957
0.490490,-0.568347
0.500501,-0.562788
0.510511,-0.557281
0.520521,-0.551827
0.530531,-0.546425
0.540541,-0.541076
0.550551,-0.535779
0.560561,-0.530535
0.570571,-0.525343
0.580581,-0.520202
0.590591,-0.515114
0.600601,-0.510076
0.610611,-0.505090
0.620621,-0.500153
0.630631,-0.495266
0.640641,-0.490428
0.650651,-0.485639
0.660661,-0.480897
0.670671,-0.476202
0.680681,-0.471554
0.690691,-0.466952
0.700701,-0.462394
0.710711,-0.457881
0.720721,-0.453412
0.730731,-0.448986
0.740741,-0.444603
0.750751,-0.440262
0.760761,-0.435962
0.770771,-0.431704
0.780781,-0.427486
0.790791,-0.423308
0.800801,-0.419171
0.810811,-0.415072
0.820821,-0.411013
0.830831,-0.406992
0.840841,-0.403009
0.850851,-0.399065
0.860861,-0.395158
0.870871,-0.391288
0.880881,-0.387455
0.890891,-0.383659
0.900901,-0.379899
0.910911,-0.376176
0.920921,-0.372488
0.930931,-0.368835
0.940941,-0.365218
0.950951,-0.361636
0.960961,-0.358089
0.970971,-0.354575
0.980981,-0.351096
0.990991,-0.347651
1.001001,-0.344239
1.011011,-0.340860
1.021021,-0.337515
1.031031,-0.334202
1.041041,-0.330921
1.051051,-0.327672
1.061061,-0.324455
1.071071,-0.321270
1.081081,-0.318116
1.091091,-0.314992
1.101101,-0.311900
1.111111,-0.308837
1.121121,-0.305805
1.131131,-0.302802
1.141141,-0.299829
1.151151,-0.296886
1.161161,-0.293971
1.171171,-0.291085
1.181181,-0.288227
1.191191,-0.285398
1.201201,-0.282596
1.211211,-0.279822
1.221221,-0.277075
1.231231,-0.274356
1.241241,-0.271663
1.251251,-0.268997
1.261261,-0.266357
1.271271,-0.263743
1.281281,-0.261155
1.291291,-0.258593
1.301301,-0.256056
1.311311,-0.253543
1.321321,-0.251056
1.331331,-0.248593
1.341341,-0.246155
1.351351,-0.243740
1.361361,-0.241349
1.371371,-0.238982
1.381381,-0.236638
1.391391,-0.234317
1.401401,-0.232019
1.411411,-0.229743
1.421421,-0.227490
1.431431,-0.225258
1.441441,-0.223049
1.451451,-0.220861
1.461461,-0.218695
1.471471,-0.216549
1.481481,-0.214425
1.491491,-0.212321
1.501502,-0.210238
1.511512,-0.208175
1.521522,-0.206132
1.531532,-0.204110
1.541542,-0.202106
1.551552,-0.200123
1.561562,-0.198158
1.571572,-0.196213
1.581582,-0.194286
1.591592,-0.192378
1.601602,-0.190489
1.611612,-0.188618
1.621622,-0.186765
1.631632,-0.184930
1.641642,-0.183113
1.651652,-0.181314
1.661662,-0.179532
1.671672,-0.177767
1.681682,-0.176020
1.691692,-0.174290
1.701702,-0.172576
1.711712,-0.170879
1.721722,-0.169199
1.731732,-0.167535
1.741742,-0.165887
1.751752,-0.164255
1.761762,-0.162640
1.771772,-0.161040
1.781782,-0.159456
1.791792,-0.157887
1.801802,-0.156334
1.811812,-0.154795
1.821822,-0.153272
1.831832,-0.151764
1.841842,-0.150271
1.851852,-0.148792
1.861862,-0.147328
1.871872,-0.145878
1.881882,-0.144443
1.891892,-0.143021
1.901902,-0.141614
1.911912,-0.140220
1.921922,-0.138840
1.931932,-0.137474
1.941942,-0.136121
1.951952,-0.134781
1.961962,-0.133455
1.971972,-0.132141
1.981982,-0.130840
1.991992,-0.129552
2.002002,-0.128277
2.012012,-0.127014
2.022022,-0.125764
2.032032,-0.124525
2.042042,-0.123299
2.052052,-0.122084
2.062062,-0.120882
2.072072,-0.119691
2.082082,-0.118512
2.092092,-0.117344
2.102102,-0.116187
2.112112,-0.115042
2.122122,-0.113907
2.132132,-0.112784
2.142142,-0.111671
2.152152,-0.110570
2.162162,-0.109478
2.172172,-0.108398
2.182182,-0.107328
2.192192,-0.106268
2.202202,-0.105218
2.212212,-0.104178
2.222222,-0.103149
2.232232,-0.102129
2.242242,-0.101119
2.252252,-0.100119
2.262262,-0.099128
2.272272,-0.098147
2.282282,-0.097176
2.292292,-0.096214
2.302302,-0.095261
2.312312,-0.094317
2.322322,-0.093383
2.332332,-0.092457
2.342342,-0.091541
2.352352,-0.090634
2.362362,-0.089735
2.372372,-0.088845
2.382382,-0.087964
2.392392,-0.087092
2.402402,-0.086228
2.412412,-0.085373
2.422422,-0.084526
2.432432,-0.083688
2.442442,-0.082858
2.452452,-0.082037
2.462462,-0.081223
2.472472,-0.080418
2.482482,-0.079621
2.492492,-0.078832
2.502503,-0.078051
2.512513,-0.077278
2.522523,-0.076513
2.532533,-0.075755
2.542543,-0.075006
2.552553,-0.074264
2.562563,-0.073529
2.572573,-0.072802
2.582583,-0.072083
2.592593,-0.071371
2.602603,-0.070667
2.612613,-0.069970
2.622623,-0.069280
2.632633,-0.068597
2.642643,-0.067921
2.652653,-0.067252
2.662663,-0.066591
2.672673,-0.065936
2.682683,-0.065288
2.692693,-0.064646
2.702703,-0.064012
2.712713,-0.063384
2.722723,-0.062762
2.732733,-0.062147
2.742743,-0.061538
2.752753,-0.060936
2.762763,-0.060339
2.772773,-0.059749
2.782783,-0.059165
2.792793,-0.058587
2.802803,-0.058015
2.812813,-0.057448
2.822823,-0.056887
2.832833,-0.056332
2.842843,-0.055783
2.852853,-0.055239
2.862863,-0.054700
2.872873,-0.054167
2.882883,-0.053639
2.892893,-0.053116
2.902903,-0.052599
2.912913,-0.052086
2.922923,-0.051579
2.932933,-0.051076
2.942943,-0.050578
2.952953,-0.050086
2.962963,-0.049597
2.972973,-0.049114
2.982983,-0.048635
2.992993,-0.048161
3.003003,-0.047691
3.013013,-0.047225
3.023023,-0.046764
3.033033,-0.046308
3.043043,-0.045855
3.053053,-0.045407
3.063063,-0.044963
3.073073,-0.044524
3.083083,-0.044088
3.093093,-0.043656
3.103103,-0.043229
3.113113,-0.042805
3.123123,-0.042386
3.133133,-0.041970
3.143143,-0.041558
3.153153,-0.041150
3.163163,-0.040746
3.173173,-0.040346
3.183183,-0.039949
3.193193,-0.039556
3.203203,-0.039167
3.213213,-0.038782
3.223223,-0.038400
3.233233,-0.038022
3.243243,-0.037647
3.253253,-0.037276
3.263263,-0.036909
3.273273,-0.036545
3.283283,-0.036185
3.293293,-0.035828
3.303303,-0.035475
3.313313,-0.035126
3.323323,-0.034780
3.333333,-0.034437
3.343343,-0.034098
3.353353,-0.033762
3.363363,-0.033429
3.373373,-0.033100
3.383383,-0.032774
3.393393,-0.032452
3.403403,-0.032133
3.413413,-0.031817
3.423423,-0.031505
3.433433,-0.031195
3.443443,-0.030889
3.453453,-0.030587
3.463463,-0.030287
3.473473,-0.029990
3.483483,-0.029697
3.493493,-0.029407
3.503504,-0.029120
3.513514,-0.028836
3.523524,-0.028555
3.533534,-0.028276
3.543544,-0.028001
3.553554,-0.027729
3.563564,-0.027460
3.573574,-0.027193
3.583584,-0.026930
3.593594,-0.026669
3.603604,-0.026411
3.613614,-0.026156
3.623624,-0.025903
3.633634,-0.025653
3.643644,-0.025406
3.653654,-0.025161
3.663664,-0.024918
3.673674,-0.024679
3.683684,-0.024441
3.693694,-0.024207
3.703704,-0.023974
3.713714,-0.023744
3.723724,-0.023516
3.733734,-0.023291
3.743744,-0.023068
3.753754,-0.022847
3.763764,-0.022628
3.773774,-0.022411
3.783784,-0.022196
3.793794,-0.021984
3.803804,-0.021773
3.813814,-0.021565
3.823824,-0.021358
3.833834,-0.021154
3.843844,-0.020951
3.853854,-0.020750
3.863864,-0.020551
3.873874,-0.020354
3.883884,-0.020159
3.893894,-0.019965
3.903904,-0.019773
3.913914,-0.019583
3.923924,-0.019394
3.933934,-0.019207
3.943944,-0.019022
3.953954,-0.018839
3.963964,-0.018657
3.973974,-0.018476
3.983984,-0.018297
3.993994,-0.018120
4.004004,-0.017944
4.014014,-0.017770
4.024024,-0.017597
4.034034,-0.017426
4.044044,-0.017256
4.054054,-0.017088
4.064064,-0.016921
4.074074,-0.016755
4.084084,-0.016591
4.094094,-0.016429
4.104104,-0.016268
4.114114,-0.016108
4.124124,-0.015950
4.134134,-0.015793
4.144144,-0.015637
4.154154,-0.015483
4.164164,-0.015331
4.174174,-0.015179
4.184184,-0.015029
4.194194,-0.014881
4.204204,-0.014734
4.214214,-0.014588
4.224224,-0.014444
4.234234,-0.014301
4.244244,-0.014159
4.254254,-0.014019
4.264264,-0.013880
4.274274,-0.013742
4.284284,-0.013606
4.294294,-0.013471
4.304304,-0.013338
4.314314,-0.013206
4.324324,-0.013075
4.334334,-0.012945
4.344344,-0.012817
4.354354,-0.012690
4.364364,-0.012565
4.374374,-0.012441
4.384384,-0.012318
4.394394,-0.012197
4.404404,-0.012076
4.414414,-0.011958
4.424424,-0.011840
4.434434,-0.011724
4.444444,-0.011608
4.454454,-0.011495
4.464464,-0.011382
4.474474,-0.011271
4.484484,-0.011160
4.494494,-0.011052
4.504505,-0.010944
4.514515,-0.010837
4.524525,-0.010732
4.534535,-0.010627
4.544545,-0.010524
4.554555,-0.010422
4.564565,-0.010321
4.574575,-0.010221
4.584585,-0.010122
4.594595,-0.010025
4.604605,-0.009928
4.614615,-0.009832
4.624625,-0.009737
4.634635,-0.009644
4.644645,-0.009551
4.654655,-0.009459
4.664665,-0.009368
4.674675,-0.009278
4.684685,-0.009188
4.694695,-0.009100
4.704705,-0.009012
4.714715,-0.008926
4.724725,-0.008840
4.734735,-0.008754
4.744745,-0.008670
4.754755,-0.008586
4.764765,-0.008503
4.774775,-0.008421
4.784785,-0.008340
4.794795,-0.008259
4.804805,-0.008178
4.814815,-0.008099
4.824825,-0.008020
4.834835,-0.007941
4.844845,-0.007864
4.854855,-0.007786
4.864865,-0.007710
4.874875,-0.007634
4.884885,-0.007558
4.894895,-0.007483
4.904905,-0.007409
4.914915,-0.007335
4.924925,-0.007261
4.934935,-0.007188
4.944945,-0.007116
4.954955,-0.007044
4.964965,-0.006972
4.974975,-0.006901
4.984985,-0.006830
4.994995,-0.006760
5.005005,-0.006690
5.015015,-0.006621
5.025025,-0.006552
5.035035,-0.006483
5.045045,-0.006415
5.055055,-0.006348
5.065065,-0.006280
5.075075,-0.006214
5.085085,-0.006147
5.095095,-0.006081
5.105105,-0.006016
5.115115,-0.005951
5.125125,-0.005886
5.135135,-0.005822
5.145145,-0.005758
5.155155,-0.005695
5.165165,-0.005632
5.175175,-0.005570
5.185185,-0.005508
