Time,Value
0.000000,0.120000
0.033333,-0.880344
0.066667,-0.871363
0.100000,-0.819997
0.133333,-0.802677
0.166667,-0.784939
0.200000,-0.757266
0.233333,-0.726699
0.266667,-0.699785
0.300000,-0.677732
0.333333,-0.658457
0.366667,-0.639541
0.400000,-0.619747
0.433333,-0.599110
0.466667,-0.578347
0.500000,-0.558238
0.533333,-0.539257
0.566667,-0.521503
0.600000,-0.504799
0.633333,-0.488860
0.666667,-0.473421
0.700000,-0.458317
0.733333,-0.443489
0.766667,-0.428962
0.800000,-0.414799
0.833333,-0.401069
0.866667,-0.387816
0.900000,-0.375055
0.933333,-0.362771
0.966667,-0.350931
1.000000,-0.339497
1.033333,-0.328432
1.066667,-0.317708
1.100000,-0.307306
1.133333,-0.297221
1.166667,-0.287450
1.200000,-0.277996
1.233333,-0.268859
1.266667,-0.260038
1.300000,-0.251526
1.333333,-0.243316
1.366667,-0.235392
1.400000,-0.227741
1.433333,-0.220347
1.466667,-0.213194
1.500000,-0.206268
1.533333,-0.199557
1.566667,-0.193051
1.600000,-0.186742
1.633333,-0.180625
1.666667,-0.174695
1.700000,-0.168949
1.733333,-0.163386
1.766667,-0.158002
1.800000,-0.152797
1.833333,-0.147768
1.866667,-0.142913
1.900000,-0.138227
1.933333,-0.133706
1.966667,-0.129345
2.000000,-0.125137
2.033333,-0.121075
2.066667,-0.117150
2.100000,-0.113355
2.133333,-0.109681
2.166667,-0.106120
2.200000,-0.102664
2.233333,-0.099308
2.266667,-0.096046
2.300000,-0.092874
2.333333,-0.089790
2.366667,-0.086794
2.400000,-0.083885
2.433333,-0.081064
2.466667,-0.078334
2.500000,-0.075696
2.533333,-0.073152
2.566667,-0.070704
2.600000,-0.068352
2.633333,-0.066097
2.666667,-0.063936
2.700000,-0.061866
2.733333,-0.059884
2.766667,-0.057985
2.800000,-0.056161
2.833333,-0.054408
2.866667,-0.052716
2.900000,-0.051081
2.933333,-0.049494
2.966667,-0.047950
3.000000,-0.046443
3.033333,-0.044971
3.066667,-0.043529
3.100000,-0.042115
3.133333,-0.040731
3.166667,-0.039375
3.200000,-0.038051
3.233333,-0.036759
3.266667,-0.035502
3.300000,-0.034284
3.333333,-0.033107
3.366667,-0.031974
3.400000,-0.030887
3.433333,-0.029847
3.466667,-0.028855
3.500000,-0.027911
3.533333,-0.027013
3.566667,-0.026160
3.600000,-0.025348
3.633333,-0.024575
3.666667,-0.023837
3.700000,-0.023130
3.733333,-0.022449
3.766667,-0.021791
3.800000,-0.021151
3.833333,-0.020526
3.866667,-0.019913
3.900000,-0.019310
3.933333,-0.018714
3.966667,-0.018126
4.000000,-0.017543
4.033333,-0.016968
4.066667,-0.016400
4.100000,-0.015840
4.133333,-0.015291
4.166667,-0.014754
4.200000,-0.014232
4.233333,-0.013726
4.266667,-0.013238
4.300000,-0.012769
4.333333,-0.012322
4.366667,-0.011896
4.400000,-0.011493
4.433333,-0.011112
4.466667,-0.010753
4.500000,-0.010414
4.533333,-0.010096
4.566667,-0.009795
4.600000,-0.009511
4.633333,-0.009240
4.666667,-0.008981
4.700000,-0.008732
4.733333,-0.008490
4.766667,-0.008254
4.800000,-0.008021
4.833333,-0.007789
4.866667,-0.007559
4.900000,-0.007327
4.933333,-0.007095
4.966667,-0.006862
5.000000,-0.006628
5.033333,-0.006393
5.066667,-0.006157
5.100000,-0.005922
5.133333,-0.005689
5.166667,-0.005458
5.200000,-0.005232
5.233333,-0.005010
5.266667,-0.004795
5.300000,-0.004587
5.333333,-0.004387
5.366667,-0.004195
5.400000,-0.004014
5.433333,-0.003841
5.466667,-0.003679
5.500000,-0.003527
5.533333,-0.003385
5.566667,-0.003252
5.600000,-0.003128
5.633333,-0.003014
5.666667,-0.002907
5.700000,-0.002809
5.733333,-0.002717
5.766667,-0.002633
5.800000,-0.002554
5.833333,-0.002482
5.866667,-0.002415
5.900000,-0.002353
5.933333,-0.002297
5.966667,-0.002245
6.000000,-0.002197
6.033333,-0.002153
6.066667,-0.002112
6.100000,-0.002074
6.133333,-0.002038
6.166667,-0.002004
6.200000,-0.001971
6.233333,-0.001937
6.266667,-0.001902
6.300000,-0.001864
6.333333,-0.001822
6.366667,-0.001776
6.400000,-0.001724
6.433333,-0.001666
6.466667,-0.001600
6.500000,-0.001528
6.533333,-0.001448
6.566667,-0.001361
6.600000,-0.001268
6.633333,-0.001170
6.666667,-0.001069
6.700000,-0.000966
6.733333,-0.000864
6.766667,-0.000765
6.800000,-0.000672
6.833333,-0.000587
6.866667,-0.000511
6.900000,-0.000448
6.933333,-0.000398
6.966667,-0.000363
7.000000,-0.000343
7.033333,-0.000338
7.066667,-0.000346
7.100000,-0.000366
7.133333,-0.000397
7.166667,-0.000434
7.200000,-0.000475
7.233333,-0.000517
7.266667,-0.000557
7.300000,-0.000590
7.333333,-0.000615
7.366667,-0.000628
7.400000,-0.000629
7.433333,-0.000617
7.466667,-0.000592
7.500000,-0.000556
7.533333,-0.000509
7.566667,-0.000455
7.600000,-0.000398
7.633333,-0.000340
7.666667,-0.000287
7.700000,-0.000240
7.733333,-0.000204
7.766667,-0.000182
7.800000,-0.000174
7.833333,-0.000183
7.866667,-0.000207
7.900000,-0.000246
7.933333,-0.000297
7.966667,-0.000358
8.000000,-0.000426
8.033333,-0.000497
8.066667,-0.000568
8.100000,-0.000635
8.133333,-0.000696
8.166667,-0.000748
8.200000,-0.000790
8.233333,-0.000822
8.266667,-0.000843
8.300000,-0.000854
